BO Iteration,Selected SMILES by EHVI,f1,f2,f3,R2 Indicator
0,O=C(O)c1cc(C2CC2)ccc1Nc1ccc(-c2ccccc2Cl)nc1,0.021096629301613535,0.21653543307086615,0.22734997242497262,0.35784722849353173
1,O=c1cc(OCc2ccccc2)ccn1-c1ccc2c(c1)CCN2C1CNC1,7.780926861553777e-05,0.3069466882067851,1.0,0.33915012390353216
2,O=C1C(=CC=Cc2ccco2)SC(=Nc2ccccc2)N1c1ccccc1,5.749684392087501e-05,0.1669085631349782,0.25871565435632693,0.33915012390353216
3,CNC(C)C(O)=Nc1ccc(-c2c(-c3ccncc3)nc3cc(C)ccn23)c(C#Cc2ccc3c(c2)OCC(=O)N3C)n1,1.0,0.15716374269005848,0.7729899496698491,0.33915012390353216
4,Cc1nn(-c2ccccc2)c2c1c(=O)oc1ccc(Br)cc12,0.00014962109395362383,0.12861736334405144,0.9796421018636742,0.33915012390353216
5,Cc1cccc(C)c1NC(=O)CC(NCc1ccco1)C(=O)O,1.0,0.1600486223662885,1.0,0.33915012390353216
6,COc1ccccc1CC(=O)Nc1c(O)c2ccccc2oc1=O,0.9924640388241408,0.1557632398753894,1.0,0.33915012390353216
7,COc1ccc(CC(=O)Nc2ccc3c(c2)C(=O)N(CCC(=O)O)C3=O)cc1,1.0,0.2118003025718608,1.0,0.33915012390353216
8,COc1ccc(C2OC(=O)Cc3cc(OC)c(OC)cc32)cc1,0.001528298123906664,0.18089430894308944,1.0,0.33915012390353216
9,COc1ccc(CC(=O)Nc2c(C(=O)N3CCN(c4ccccc4OC)CC3)oc3ccccc23)cc1OC,1.0,0.2502962085308057,0.8341663634144962,0.3265559040061521
10,Cc1ccc(C)c(S(=O)(=O)N2CCN(CC(=O)NC(=O)NCc3ccco3)CC2)c1,1.0,0.21386430678466076,1.0,0.3265559040061521
11,COc1cccc(Cn2nnc(-c3cccc(C(=O)NCc4ccc(C(=O)O)cc4)c3)n2)c1,1.0,0.17664872139973084,1.0,0.3265559040061521
12,COc1ccnc(Nc2cc(C)cc(-c3ccc(CCC(=O)O)cc3)c2)n1,0.8519921208706365,0.20068807339449543,0.9757846053155483,0.3265559040061521
13,COC(=O)C1CC(NC(=O)Cn2c(=O)cc(C)c3ccccc32)CN1C,0.6452948079631209,0.20801232665639446,1.0,0.3265559040061521
14,COC(CNC(=O)C1CCCN1C(=O)OCc1ccccc1)OC,0.4351563009073574,0.18760195758564438,1.0,0.3265559040061521
15,Cc1cccc(C)c1NC(=O)c1cc(-c2ccc(NC(=N)N)cc2)[nH]n1,1.0,0.12072808320950966,1.0,0.3265559040061521
16,COc1cccc(OC)c1-c1ccc(CC(Nc2ccc(S(=O)(=O)N3CCCC3)cc2)C(=O)O)cc1,1.0,0.2820427236315087,0.9659812981984875,0.29794875612785243
17,Cc1ccc(C2(O)CCN(C(=O)c3cccc(S(C)(=O)=O)c3)CC2)nc1,0.9709070901260904,0.23412698412698413,1.0,0.2972281905601888
18,COc1ccc(-c2nn(C)c(=O)c3ccccc23)cc1NS(C)(=O)=O,1.0,0.13177159590043924,1.0,0.2972281905601888
19,COCC(C)n1c(C)cc(C(=O)COc2ccc(S(=O)(=O)N3CCOCC3)cc2Cl)c1C,0.9579837151072165,0.17375168690958165,1.0,0.2972281905601888
20,CNC(=O)c1ccc2cccc(CNC(C)=O)c2c1,0.006369718512085289,0.1448306595365419,1.0,0.2972281905601888
21,COc1ccc(C)cc1NC(=O)NCc1ccc2c(c1)CCN2C(=O)c1ccccc1,0.15439446353010733,0.2452415812591508,0.8697859046734665,0.2972281905601888
22,CCc1ccc(N2CCN(C(=O)c3ccc(OC)c(OC)c3)CC2)cc1,9.977275509010252e-06,0.2435064935064935,1.0,0.2972281905601888
23,COc1ccc(Cn2cc(CNC(=O)c3cccnc3Nc3ccc(OC)cc3)nn2)cc1,1.0,0.20089285714285715,1.0,0.2972281905601888
24,CCOC(=O)Nc1cc2c(nc(SCc3ccc(OC)cc3)n2N)c(N)n1,1.0,0.1072961373390558,1.0,0.2972281905601888
25,COc1cccc(OC)c1C(=O)Nc1cccc(-c2ccc(N3CCOCC3)nn2)c1,0.9159619082981747,0.23792613636363635,1.0,0.29691290550270233
26,CCOc1ccc(-c2nnc(NC(=O)CCCOc3cccc(C)c3)o2)cc1,0.9399280022524179,0.18827639751552797,0.9712787194132475,0.29691290550270233
27,O=C(CN1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1)Nc1cccc(F)c1,0.9835743958876584,0.24887724550898202,1.0,0.29440504414502744
28,O=C(O)c1nn(CCOc2cccc(Br)c2)c(=O)c2ccccc12,0.6920604304066656,0.17658730158730157,1.0,0.29440504414502744
29,O=C(Nc1ccc(Cl)cc1)c1cc(-c2cccc(O)c2)on1,0.3424437049153348,0.14303482587064678,1.0,0.29440504414502744
30,CCOc1ccccc1NC(=O)CCN1CCN(S(=O)(=O)c2ccc(OC)cc2)CC1,0.9835743958876584,0.3217628705148206,1.0,0.29604327159882277
31,COC(=O)C1=C(c2cccc(OCc3ccccc3)c2)CC2CCC1N2C(=O)NCc1ccc(N(C)C)cc1,0.16793798577779442,0.30747836835599507,0.37284554073780557,0.29604327159882277
32,COc1ccc(CC(=O)CC(=O)NC2CCOC2=O)cc1,0.7086099818001778,0.17513134851138354,1.0,0.29604327159882277
33,Cc1ccc(NC(=O)C2CCCN2S(=O)(=O)c2cccc3cccnc23)c(C)c1,0.5683689564080902,0.231811697574893,1.0,0.29604327159882277
34,COc1ccc(-c2cnc3ccccn3c2=O)cc1,2.113035343044201e-05,0.1834862385321101,1.0,0.29604327159882277
35,CCC(Nc1cccc(OC)c1)C(=O)NCc1ccc2[nH]c(=O)[nH]c2c1,1.0,0.17554012345679015,1.0,0.29604327159882277
36,COc1ccc(CNS(=O)(=O)c2ccc3oc(C(=O)O)c(C)c3c2)cc1,1.0,0.17366412213740456,1.0,0.29604327159882277
37,COc1ccc(NC(=O)C2CCCN(S(=O)(=O)c3cccc4nonc34)C2)cc1OC,1.0,0.21522038567493113,1.0,0.29604327159882277
38,Cc1cccnc1NC(=O)c1cccc(S(=O)(=O)N2CCCC2)c1,0.5683689564080892,0.21783387622149836,1.0,0.29604327159882277
39,CCC(=O)Nc1cccc(-c2cn3cccc(C)c3n2)c1,7.44934020193052e-05,0.1891304347826087,1.0,0.29604327159882277
