BO Iteration,Selected SMILES,f1,f2,R2 Indicator
0,CCn1cnnc1CNC(=O)c1cc(Cl)c(I)cc1OC,0.09322033898305085,1.0,0.1634
1,CCN1CCC(N(Cc2cccc(OC)c2)C(=O)Nc2ccc(C)cc2Cl)CC1,0.1417910447761194,1.0,0.1634
2,O=C(OCCN1CCOCC1)c1ccc(N=NNc2ccc(C(=O)OCCN3CCOCC3)cc2)cc1,0.1111111111111111,1.0,0.1634
3,O=C(NCCN1CCOCC1)c1cc2ccccc2o1,0.09243697478991597,1.0,0.1634
4,CC(=O)c1ccc(N(C(=O)CNC(=O)c2ccco2)C(C(=O)NC2CCCC2)c2ccncc2)cc1,0.16,0.1353352832366127,0.1634
5,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C(=O)CCCN)CC2)CC1,0.15827338129496402,0.1353352832366127,0.1634
6,CCOC(=O)C1CCN(C(=O)COc2cccc(C)c2)CC1,0.20909090909090908,0.1353352832366127,0.2146
7,CCNc1nc(C)c2cc(-c3cccnc3N)c(=O)n(C3CCCC3)c2n1,0.13846153846153847,0.1353352832366127,0.2146
8,Cc1ccc(NC(=O)c2cnoc2C)cc1C(=O)Nc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1,0.08928571428571429,0.00033546262790251185,0.2146
9,CC(C)(C)C(=O)Nc1ccc(N2CCN(Cc3ccccc3)CC2)c(Cl)c1,0.09701492537313433,1.0,0.2146
10,O=C(Nc1cccc(CN2CCC(C(O)=NC3CCCCC3)CC2)c1)c1ccncc1Cl,0.15492957746478872,1.0,0.2146
11,CCOc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3Cl)c2cc1N1CCCN(C)CC1,0.11564625850340136,0.1353352832366127,0.2146
12,C=CCOc1c(Cl)cccc1C(=O)NC1(C(=O)O)Cc2ccccc2C1,0.09923664122137404,1.0,0.2146
13,Cc1nnn(-c2ccc(Cl)cc2)c1C(=O)N1CCN(c2ccc([N+](=O)[O-])cc2Cl)CC1,0.06756756756756757,0.1353352832366127,0.2146
14,COc1ccc(Br)c(O)c1C(=O)NCCCCN1CCN(c2nsc3ccccc23)CC1,0.10135135135135136,0.1353352832366127,0.2146
15,CC(C)(C)CC(C)(C)NC1=Nc2ccccc2NC12CC1CCCC(=O)N3CCC(C2)C13,0.14184397163120568,0.1353352832366127,0.2146
16,NC1=NC(c2cc(NC(=O)c3ccc(=O)[nH]c3)ccc2F)(C(F)F)COC1,0.057971014492753624,1.0,0.2146
17,N#CC(Cc1ccc(-c2ccc(S(=O)(=O)N3CCC(F)(F)CC3)cc2)cc1F)NC(=O)C1NC2CCC1C2,0.1337579617834395,1.0,0.2146
18,Fc1ccc(C(OCCN2C3CCC2CC(Cc2ccccc2)C3)c2ccc(F)cc2)cc1,0.10526315789473684,0.1353352832366127,0.2146
19,O=C(NCc1ccccc1Cl)C1CCCN1C(=O)NC1CCCCC1,0.19166666666666668,0.1353352832366127,0.2146
20,CC(=O)Oc1cccc(C(=O)N(O)CCC(c2ccc(Cl)c(Cl)c2)P(=O)(O)O)c1,0.1037037037037037,1.0,0.2146
21,O=C(Nc1cccc(Cl)c1N1CCOCC1)c1ccc([N+](=O)[O-])o1,0.07751937984496124,1.0,0.2146
22,CC(O)(C(=O)Nc1ccc(S(=O)(=O)c2ccccc2)c(C(=O)O)c1)C(F)(F)F,0.08208955223880597,1.0,0.2146
23,CCN(CC)C(=O)c1ccc(CNS(=O)(=O)c2cccc(Cl)c2)cc1,0.10236220472440945,1.0,0.2146
24,COc1ccc(C=NNC(=O)c2cccc(O)c2)cc1Cn1nc(C)c([N+](=O)[O-])c1C,0.08275862068965517,0.1353352832366127,0.2146
25,NS(=O)(=O)c1cc(NC(=O)NCCCN2CCOCC2)c(Cl)cc1Cl,0.1111111111111111,0.1353352832366127,0.2146
26,COc1cc(SC)ccc1C(=O)Nc1cccc(S(=O)(=O)NC2=NCCCCC2)c1,0.11428571428571428,1.0,0.2146
27,O=C(Nc1ccc(Cl)c(Cl)c1)c1cc2ccccc2o1,0.03225806451612903,0.1353352832366127,0.2146
