BO Iteration,Selected SMILES,f1,f2,R2 Indicator
0,COc1ccc(NC(=O)Nc2ccc3c(c2)NC(=O)C3=Cc2[nH]c(C)c(CCC(=O)O)c2C)cc1,0.19047619047619047,0.1353352832366127,0.2614
1,O=C(NC(CCS)C(=O)NC(Cc1ccccc1)C(=O)O)c1ccno1,0.16279069767441862,0.1353352832366127,0.2614
2,Cc1ccc(S(=O)(=O)c2nc(S(C)(=O)=O)sc2N2CCN(C)CC2)cc1,0.1297709923664122,1.0,0.2614
3,COc1cccc(N2C(=O)Nc3ccc(Br)cc3C2(O)C(=O)NCCN(C)C)c1,0.1984732824427481,1.0,0.222
4,O=c1ccc(-c2ccccc2)nn1CCC(=S)N1CCCC1,0.13709677419354838,1.0,0.222
5,Cc1nn(C)cc1CN1CCN(CC2(c3ccccc3)CC2)CC1,0.140625,0.1353352832366127,0.222
6,O=C(CS(=O)(=O)c1ccccc1)N1CCCCCC1,0.1391304347826087,0.1353352832366127,0.222
7,COC(=O)c1ccccc1S(=O)(=O)N1CCc2nc(-c3ccc(OC)cc3C)c3c(c2C1)COC(c1ccccc1)C3,0.18674698795180722,1.522997974471263e-08,0.222
8,COc1ccc2cc(C#N)c(N3CCN(C(=O)c4ccccc4C)CC3)nc2c1,0.17647058823529413,0.1353352832366127,0.222
9,CC(C)(C)C1CCc2c(sc(NC(=O)c3cccc(Cl)c3)c2C(=O)NCc2ccco2)C1,0.19285714285714287,0.1353352832366127,0.222
10,COc1cccc(N2CCN(C(=O)CCSCc3ccccc3F)CC2)c1,0.17424242424242425,1.0,0.222
11,CC(=O)Nc1ccc2c(c1)Cc1ccc(Cl)cc1-2,0.16363636363636364,1.0,0.222
12,CCOC(=O)Nc1ccc(N2CCN(C(=O)c3ccccc3)CC2)cc1,0.20634920634920634,1.0,0.2109
13,Cc1ccc(NC(=S)N2CCCC2)cc1,0.10091743119266056,0.1353352832366127,0.2109
14,Cc1ccc(NC(=O)CCCOc2ccccc2)cc1S(=O)(=O)N1CCOCC1,0.18518518518518517,1.0,0.2109
15,COc1ccc(N2CCN(Cc3nc4c(c(=O)[nH]c(=O)n4C)n3CC(C)=O)CC2)cc1,0.17142857142857143,0.1353352832366127,0.2109
16,Cc1ccccc1NC(=O)c1cc[n+]([O-])cc1,0.16822429906542055,0.1353352832366127,0.2109
17,CN(C)CCCn1c(=O)c(C#N)c(-c2ccccc2)c2ccccc21,0.1746031746031746,1.0,0.2109
18,CC(=O)Nc1ccc2c3ccccc3n(C)c2c1,0.18518518518518517,1.0,0.2109
19,Cc1ccc(C2CC3CCC(C2)N3Cc2ccccc2F)cc1,0.14285714285714285,0.1353352832366127,0.2109
20,O=C(OCC1CCCCO1)c1cccc(-c2ccccc2)c1,0.17355371900826447,1.0,0.2109
21,CC(C(=O)NN=C(c1ccccc1)c1ccccc1)N1CCOCC1,0.12781954887218044,1.0,0.2109
