BO Iteration,Selected SMILES by EI,f1,f2,f3,Hypervolume
0,COC(=O)C(C)Oc1ccc(C(=O)C=Cc2c[nH]c3ccccc23)cc1,0.09681430661604525,0.18138801261829654,0.9999907550427348,0.00043312533458754747
1,COc1ccccc1N(C)S(=O)(=O)c1ccc(C(=O)OCC(=O)N2CCCCCC2)cc1,1.0,0.2787900874635569,1.0,0.0008464129105109513
2,O=C(OCC(=O)c1ccc[nH]1)c1ccc(S(=O)(=O)N2CCCCC2)cc1,1.0,0.20700636942675157,1.0,0.0008464129105109513
3,CS(=O)(=O)N1CCc2cc(C(=O)OCC(=O)c3ccccc3)ccc21,0.6519336408973453,0.16929133858267717,1.0,0.0008464129105109513
4,COc1ccccc1CNC(=O)COC(=O)c1ccc(C(=O)c2ccccc2)cc1,0.7086099818001761,0.22590361445783133,1.0,0.0008464129105109513
5,COC(=O)c1ccc(NC(=O)COc2ccc(N(C)S(=O)(=O)c3ccc(C)cc3)cc2)cc1,1.0,0.1872399445214979,1.0,0.0008464129105109513
6,Cc1ccc(C)c(NC(=O)COC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)c1,1.0,0.19473293768545993,1.0,0.0008464129105109513
7,COC(=O)c1ccc(-n2c(C)cc(C(=O)COc3ccc(OC(C)=O)cc3)c2C)cc1,0.8266742955879433,0.1558219178082192,0.9977082762178978,0.0008464129105109513
8,COc1cccc(CNC(=O)COC(=O)c2ccc(S(C)(=O)=O)c([N+](=O)[O-])c2)c1,1.0,0.16351744186046513,1.0,0.0008464129105109513
9,COc1ccc(NC(=O)COC(=O)CNS(=O)(=O)c2ccc(C)cc2)c(OC)c1,1.0,0.15328467153284672,1.0,0.0008464129105109513
10,COc1ccc(C=C2CC(CO)(COC(=O)c3ccc([N+](=O)[O-])cc3)OC2=O)cc1,1.0,0.22314949201741655,1.0,0.0008464129105109513
11,COc1ccc(C=C(NC(=O)c2ccc(C)cc2)C(=O)N2CCCCC2)cc1,0.0073192457202498175,0.32659409020217733,1.0,0.0008906327272390284
12,CCN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(NC(=O)COC(=O)c2ccc(Cl)c(N)c2)c1,1.0,0.1724137931034483,0.8420853997514558,0.03634421034960137
13,COC(=O)c1ccc(S(=O)(=O)N(CCC(F)(F)F)c2sc3ccccc3c2C)cc1,0.03131331100854413,0.1712779973649539,0.5197585614153862,0.11052806919083641
14,N=C(N)c1ccc(O)c(OCC(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,1.0,0.1853813559322034,1.0,0.11052806919083641
15,N#CCC(=O)Nc1ccc(C(=O)OCC(=O)c2c[nH]c3ccccc23)cc1,1.0,0.16552511415525112,1.0,0.11052806919083641
16,O=C(COc1ccccc1C(=O)O)Nc1nc2ccc([N+](=O)[O-])cc2s1,1.0,0.14817629179331307,1.0,0.11052806919083641
17,COc1cc(C(=O)Nc2ccc(C(N)=O)cc2)c([N+](=O)[O-])cc1OC,1.0,0.13533834586466165,1.0,0.11052806919083641
18,NC(=O)c1cn(-c2ccc(S(N)(=O)=O)cc2)nc1-c1ccc([N+](=O)[O-])cc1,1.0,0.1414756446991404,1.0,0.11052806919083641
19,Cc1ccccc1NC(=O)C(=O)CC(=O)c1ccc([N+](=O)[O-])cc1,1.0,0.151033386327504,1.0,0.11052806919083641
20,Cc1ccc(C(=O)Nc2cc(Cl)ccc2OCC(=O)Nc2ccc(S(N)(=O)=O)cc2C)cc1C,1.0,0.14556962025316456,0.9834919504326396,0.11052806919083641
21,CC(C)C(NC(=O)COc1cccc2ccccc12)C(=O)NC(CC(=O)O)C(=O)COc1ccc(C(N)=O)cc1,1.0,0.2020348837209302,1.0,0.11052806919083641
22,Cc1csc(=O)n1CC(=O)OCC(=O)Nc1ccc(C(N)=O)cc1,1.0,0.11220472440944881,1.0,0.11196824395198121
23,CCC(C)c1ccccc1NC(=O)COC(=O)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O,1.0,0.20261437908496732,0.9328695366620918,0.11196824395198121
24,O=C(COC(=O)c1ccc2ccccc2n1)Nc1ccccc1Br,0.09473985613614333,0.1585072231139647,1.0,0.11196824395198121
25,CC(=O)Oc1ccc(C(=O)OCC2=C(C(=O)O)N3C(=O)C(NC(=O)CSc4cc(Cl)ccc4Cl)C3SC2)cc1,1.0,0.18195266272189348,1.0,0.11196824395198121
26,CN(c1ccsc1C(=O)NC(CCCNC(=N)N)C(=O)O)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,1.0,0.1864461738002594,1.0,0.11196824395198121
27,CC(C(=O)NO)N(Cc1ccccc1[N+](=O)[O-])C(=O)NS(=O)(=O)c1ccc(Cl)cc1,1.0,0.13427109974424553,1.0,0.11196824395198121
28,O=C(COC(=O)c1ccc(Cl)nc1)NCCNC(=O)COC(=O)c1ccc(Cl)nc1,1.0,0.13177159590043924,1.0,0.11196824395198121
29,O=C(O)CN(CC(=O)NC(Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O)S(=O)(=O)c1cccs1,1.0,0.22194821208384707,1.0,0.11196824395198121
30,CN(Cc1ccccc1)S(=O)(=O)NC(CNC(=O)CC1CC(c2ccc(C(=N)N)cc2)=NO1)C(=O)O,1.0,0.19626769626769627,1.0,0.11196824395198121
31,COc1ccc(OC)c(C(=O)CCC(=O)NC(Cc2ccccc2)C(=O)C(N)=O)c1,1.0,0.19393511988716503,1.0,0.11196824395198121
32,COc1cccc(OC)c1-c1ccc(CC(NC(=O)C2(S(=O)(=O)c3ccccc3)CCCCC2)C(=O)O)cc1,1.0,0.3271604938271605,0.8045516405410535,0.12800206088978588
