BO Iteration,Selected SMILES,f1,f2,R2 Indicator
0,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)N2CCN(C)CC2)cc1,0.15702479338842976,0.1353352832366127,0.1532
1,CCOC(=O)c1c(N)sc2c1CCN(Cc1ccccc1)C2,0.12605042016806722,1.0,0.1532
2,CCOC(=O)c1c(NC(=O)CN2CCN(c3ccc(Cl)cc3)CC2)sc(C)c1C,0.16923076923076924,1.0,0.1532
3,CCOC(=O)c1cc(C#N)c(N2CC(C(=O)NS(=O)(=O)Cc3ccc(F)cc3)C2)nc1C,0.15328467153284672,1.0,0.1532
4,CCOC(=O)c1ccc(NC(=O)C2CCC(CNc3c(N4CCOCC4)c(=O)c3=O)CC2)cc1,0.18309859154929578,1.0,0.1532
5,CCOC(=O)c1ccc(NC(=O)CN2C(=O)CNC2=O)cc1,0.15789473684210525,0.1353352832366127,0.1532
6,CCOC(=O)N1CCC(NC(=O)C2CCN(Cc3nc(-c4ccc(CC)cc4)oc3C)CC2)CC1,0.20422535211267606,1.0,0.1532
7,CCc1ccc(NC(=O)C2CCN(S(=O)(=O)c3c(C)nc(O)nc3O)CC2)cc1,0.14393939393939395,1.0,0.1532
8,CC(=O)N1CCc2c(sc(NC(=O)C3CCN(S(=O)(=O)c4cccs4)CC3)c2C(N)=O)C1,0.14285714285714285,1.0,0.1532
9,CC(=O)N1c2ccc(S(=O)(=O)NCC3CCC(C(=O)NCc4ccc(C)o4)CC3)cc2CC1C,0.16901408450704225,1.0,0.1532
10,CC(=O)Nc1ccc(S(=O)(=O)N2CCC(C(=O)NC3CCCC3)CC2)cc1,0.18548387096774194,0.1353352832366127,0.1532
11,Cc1cc(Cl)ccc1NC(=O)C1CCN(c2nnc(-n3c(C)ccc3C)s2)CC1,0.10869565217391304,0.1353352832366127,0.1532
12,CCOC(=O)c1c(NC(=O)C2C3C=CC(CC3)C2C(=O)O)sc(C)c1CC,0.2719298245614035,0.1353352832366127,0.2396
13,CCOC(=O)N1CCC(NC(=O)c2ccc(C[S+]([O-])c3cccc(Cl)c3)o2)CC1,0.17692307692307693,1.0,0.2396
14,CCOC(=O)N1CCC(NC(=O)CNS(=O)(=O)c2ccc(Br)s2)CC1,0.20689655172413793,0.1353352832366127,0.2396
15,CCOC(=O)C1CCN(Cn2nc(Cc3ccc(SC)cc3)oc2=S)CC1,0.16535433070866143,1.0,0.2396
