BO Iteration,Selected SMILES,f1,f2,f3,R2 Indicator
0,COc1cc2c(=O)c(C(=O)c3ccc(C)cc3)cn(CC3CC3)c2cc1OC,0.0051358778293383025,0.23947750362844702,1.0,0.552
1,COc1ccc2[nH]cc(CCn3cc(N=C(O)c4ncoc4-c4cccc(C)c4)cn3)c2c1,1.0,0.2032103825136612,0.4777714073400041,0.552
2,COC(=O)c1cc2oc3ccccc3c2n1Cc1nc(-c2cccc(C)c2)oc1C,0.14648972346236594,0.13141025641025642,0.32746418495597496,0.552
3,COC(=O)C1(c2ccc(N(C)C)cc2OC)CCCN(C(=O)Oc2ccccc2[N+](=O)[O-])CCc2c1[nH]c1ccccc21,1.0,0.2777777777777778,0.3509718686585795,0.5321
4,COc1ccccc1N1CCN(C(=O)c2ccc(Nc3ccnc4cc(C(F)(F)F)ccc34)cc2)CC1,0.0054265592581279375,0.2999329758713137,0.1441493131121421,0.5321
5,COc1cc(C(=O)c2nc(-c3ccc(N(C)C)cc3)c[nH]2)cc(OC)c1OC,0.411843440762284,0.12622720897615708,1.0,0.5321
6,CC(C)C(NC(=O)OC(C)(C)C)C(=O)N1CCCC1C(=O)NC(C(C)C)P(=O)(Oc1ccccc1)Oc1ccccc1,1.0,0.18128803245436104,0.14192087358001648,0.5321
7,Cc1cc(C)c(S(=O)(=O)N(C)CC(=O)N(Cc2cccs2)c2ccc(C(=O)O)c(O)c2)c(C)c1,1.0,0.20146520146520147,1.0,0.506
8,Cc1cc(C)c(NC(=O)Nc2cc(-c3ccc(F)cc3)ccc2C(=O)NC(C(=O)O)C(C)OC(C)(C)C)c(C)c1,1.0,0.13137356919875132,0.04990056085044184,0.506
9,Cc1ccc2[nH]c(=O)c(CN(Cc3cccs3)C(=O)c3ccco3)cc2c1,0.060441428913840904,0.17703862660944206,0.9458690426780474,0.506
10,CN(C)C(=O)c1ccc(N(Cc2nc3ccccc3[nH]2)C(=O)c2cc(Cl)c(O)cc2O)cc1,1.0,0.18075980392156865,0.9845792907892951,0.506
11,Cc1cc(O)c(C2=NN(S(N)(=O)=O)C(c3ccc(N(C)C)cc3)C2)c(C)c1Cl,1.0,0.14746227709190673,1.0,0.506
12,Cc1cc(C)cc(-c2cnc(-c3cccnc3)c(C(=O)NCc3ccc(N(C)C)cc3)c2)c1,0.006209518017363476,0.17857142857142855,0.36309501966808,0.506
