BO Iteration,Selected SMILES by EHVI,f1,f2,f3,R2 Indicator
0,C=CCn1c(SCc2ccc3nonc3c2)nnc1-c1cccs1,0.12559604679568753,0.11208206686930092,0.9997774197746546,1.518349416284603
1,O=C(COC(=O)CNS(=O)(=O)c1ccc(F)c(F)c1F)NC1CCCC1,1.0,0.12443438914027148,1.0,0.5491756583951363
2,Fc1ccccc1-c1nc(-c2ccc(Br)o2)no1,0.0007486657018860072,0.08333333333333333,1.0,0.5491756583951363
3,CCOC(=O)Cn1ccc(NC(=O)c2ccc(F)cc2)n1,0.24467071325087203,0.14126712328767121,1.0,0.5470265500270723
4,CS(=O)(=O)c1ccc(C(=O)OCC(=O)NC23CC4CC(CC(C4)C2)C3)cc1[N+](=O)[O-],1.0,0.18688293370944992,1.0,0.46129538309253587
5,O=C1C(=Cc2ccc(-c3cccc(-c4nnn[nH]4)c3F)o2)SC(=S)N1c1cccc(C(F)(F)F)c1,0.9783962768127004,0.12620192307692307,0.23961397693235748,0.46129538309253587
6,O=C1N(c2ccnc(Cl)c2)CCN1c1cnccc1C1(O)CCC1,0.12381484682916598,0.23412052117263843,1.0,0.46129538309253587
7,C=CCNC(=O)Nc1ccc(OCC(O)CNC(C)C)c(Cl)c1,0.7616089835095765,0.14486754966887416,1.0,0.46129538309253587
8,OC(=NCCCCCCN=C(O)N1Cc2ccccc2C1)N1Cc2ccccc2C1,0.18604289752602965,0.2894088669950739,0.9207373339342662,0.4464490012841836
9,COc1ccc(C(=O)C=C2Sc3cc4c(cc3N2C)OCO4)cc1,0.00014774836023203364,0.15772870662460567,1.0,0.4464490012841836
10,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(CC(C)S(=O)(=O)CC)c2ccccc2)CC1,1.0,0.35386631716906947,0.29111977457953164,0.43395868048384206
11,O=C1C(=Cc2cccnc2)COc2ccccc21,2.4774506257559624e-06,0.18126177024482107,1.0,0.43395868048384206
12,O=S(=O)(Nc1ccc(CCNCC(O)COc2cccnc2)cc1)c1ccccc1,1.0,0.278892455858748,1.0,0.2997025195195723
13,CCN(CC)S(=O)(=O)c1ccc(OC)c(NC(=O)c2cn(CC)c3nc(C)ccc3c2=O)c1,1.0,0.1643120393120393,1.0,0.2997025195195723
14,Cn1cc(NC(=O)c2csc3ncc(NC4CCCCC4N)nc23)c(Cl)n1,1.0,0.15058055152394775,1.0,0.2997025195195723
15,Cc1ccc(Nc2ccc(N3CCN(C(=O)c4cccc([N+](=O)[O-])c4)CC3)nn2)cc1,1.0,0.29670750382848393,1.0,0.28708780659364386
16,CCn1cc(-c2cncn2CCc2ccc3c(c2)OCCO3)cn1,0.0015899543084290236,0.18346774193548385,1.0,0.28708780659364386
17,Cc1ccc2cccc(Nc3ccnc4ccnn34)c2n1,0.0022732142042284804,0.1285240464344942,1.0,0.28708780659364386
18,Cc1cc(-c2c(O)nc3cc(Cl)c(C(=O)Nc4ncccn4)cc3c2OCCC2CCN2)cc(C)c1C,1.0,0.21634615384615385,0.39706394020999497,0.28708780659364386
19,Cc1c(N(Cc2ccc(F)c(C(F)(F)F)c2)S(=O)(=O)c2ccc(C3=NS(=O)ON3)cc2)sc2ccccc12,0.981547864275255,0.1345350052246604,0.26782497660107035,0.28708780659364386
