BO Iteration,Selected SMILES,f1,f2,R2 Indicator
0,CN(CCBr)c1cc(-c2ccc(Cl)cc2)oc(=O)c1C#N,0.15384615384615385,0.1353352832366127,0.2614
1,CN(C)CCCNC(=O)c1ccc2[nH]nc(-c3cc4ccccc4o3)c2c1,0.19230769230769232,0.1353352832366127,0.2614
2,Cc1ccc(-n2cc3c(n2)c(=O)[nH]c2ccccc23)cc1,0.1694915254237288,0.1353352832366127,0.2614
3,CC(NC1CCCC1)=C(C#N)C(N)=O,0.06481481481481481,0.00033546262790251185,0.2614
4,CCc1ccc2[nH]c3c(c2c1)CCN(C(=O)OCc1ccccc1)C3c1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,0.17391304347826086,1.2664165549094176e-14,0.2614
5,COc1ccc2c3c(c4cc(OC)c(OC)cc4c2c1)CC1CN(CCc2ccccc2)CN1C3,0.16993464052287582,1.522997974471263e-08,0.2614
6,CC(=NNC(N)=O)C(CN(C)C)C(c1ccccc1)c1c(O)c2ccccc2oc1=O,0.1897810218978102,1.0,0.2314
7,FC(F)(F)c1ccncc1CNc1ccc(Cc2c[nH]c3ncc(Cl)cc23)cn1,0.11888111888111888,0.1353352832366127,0.2314
8,COc1ccc(C(c2ccc(OC)cc2)[S+]([O-])CCN2CCCC(C(=O)O)C2)cc1,0.14893617021276595,1.0,0.2314
9,C=CC(C)(C)n1cc(CC2NC(=O)C(C)NC2=O)c2ccccc21,0.19166666666666668,1.0,0.2294
10,O=P1(Oc2ccccc2)C(c2ccccc2)C(c2ccccc2)=NN1c1ccccc1,0.11920529801324503,0.00033546262790251185,0.2294
11,COC(C(=O)NCc1ccc(Cl)cc1)(c1ccccc1)c1ccccc1,0.17829457364341086,1.0,0.2294
12,COc1ccc2c(c1)NC1(CCN(C(=O)c3ccc(OC)c(N(C)C)c3)C(C)C1)c1cccn1-2,0.1610738255033557,0.00033546262790251185,0.2294
13,Cc1cc(COc2ccc(F)cc2)nc(-c2ccccn2)n1,0.1652892561983471,1.0,0.2294
14,CCc1ccc(-c2csc(NC(=O)C3CCCO3)c2C(=O)OC(C)C)cc1,0.1953125,1.0,0.2254
15,COc1ccc(CN2CCCCC2c2cccnc2)cc1C,0.14634146341463414,1.0,0.2254
16,Cc1c(C(O)=Nc2c(C)n(C)n(C3CCCCC3)c2=O)noc1C1=CCC(C)(C)C1,0.0958904109589041,0.1353352832366127,0.2254
17,COC(=O)C(O)(NC(=O)c1ccncc1)C(F)(F)F,0.15454545454545454,0.00033546262790251185,0.2254
18,NS(=O)(=O)c1ccc(CCNC(=O)CNC(=O)c2ccc(Br)o2)cc1,0.15873015873015872,0.1353352832366127,0.2254
19,CN(C)CCCn1c2c(c3ncccc3c1=O)C(=O)c1ccccc1-2,0.184,0.1353352832366127,0.2254
20,O=C1CCC(O)c2ccccc21,0.18085106382978725,0.1353352832366127,0.2254
21,COCCn1c(CN(Cc2ccccc2)Cc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C,0.1958041958041958,0.1353352832366127,0.2254
22,CC(C)n1cc(-c2n[nH]c3ccnc(OCC(F)(F)F)c23)cn1,0.11904761904761904,1.0,0.2254
23,CN(CC#Cc1ccc(CC(C(=O)O)n2cccc2)cc1)c1ccccc1,0.13970588235294118,1.0,0.2254
24,CNc1nc(-c2nc3cc(C4=NN=C(O)CC4C)ccc3n2Cc2ccccc2)cn2c(C)nnc12,0.13836477987421383,1.522997974471263e-08,0.2254
25,CNc1nc2c(N)nc(OCCOC)nc2n1Cc1ccccc1,0.21666666666666667,1.0,0.1964
26,CC1(C)N=C(N)N=C(N)N1c1ccc(OCc2ccc(Cl)cc2S(=O)(=O)F)c(Cl)c1,0.17037037037037037,1.0,0.1964
27,CN1CCCC1=NS(=O)(=O)c1ccc(NC(=O)Cc2cccs2)cc1,0.1297709923664122,1.0,0.1964
28,Nc1ncc(Cc2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)c(N)n1,0.15862068965517243,0.1353352832366127,0.1964
29,c1ccc(CN2CCN(CC3CCc4ccccc4C3)CC2)cc1,0.12030075187969924,0.1353352832366127,0.1964
30,CCCn1cc(NC(=O)c2cc(-c3ccccc3)on2)cn1,0.175,1.0,0.1964
31,Cc1ccc(S(=O)(=O)N2CCN(c3nc(C#N)nc4ccccc34)CC2)cc1,0.145985401459854,0.1353352832366127,0.1964
32,COc1cc(OCc2cccc(OCc3cc(C(F)(F)F)ccc3F)c2)c2cc(-c3cn4nc(OC)sc4n3)oc2c1,0.12571428571428572,1.522997974471263e-08,0.1964
33,CN1CCCC1CCNCc1cccc(-c2cnc(N(C)C3CCCCC3)nc2)c1,0.11486486486486487,0.1353352832366127,0.1964
34,Cc1ccc2c(c1)N(C(=O)CCC(=O)NCCCN1CCOCC1)CCO2,0.14814814814814814,1.0,0.1964
35,CCn1ccnc1-c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,0.15723270440251572,0.00033546262790251185,0.1964
36,CCCC(CNC)NCC(Cc1ccc(O)cc1)NCCC1CCCC1,0.11764705882352941,0.1353352832366127,0.1964
37,C#CCOc1cccc(-c2cc(=O)c3c(O)cccc3o2)c1,0.13821138211382114,1.0,0.1964
38,Nc1ccc(Oc2ccc(C34CC5CC6C3CC3CC4C(C5)C6(c4ccc(Oc5ccc(N)c(O)c5)cc4)C3)cc2)cc1O,0.08465608465608465,2.572209372642415e-56,0.1964
