BO Iteration,Selected SMILES,f1,f2,R2 Indicator
0,CCN(CC)CCCC(C)Nc1cc(OC)c(OC)c2ccccc12,0.1015625,1.0,0.1634
1,CC(N)=C(C#N)C(=O)COC(=O)C(NC(=O)c1ccccc1Cl)C(C)C,0.16666666666666666,0.1353352832366127,0.1634
2,O=C(CNC(=O)c1cc2ccccc2s1)NC1COCC1=O,0.09836065573770492,1.0,0.1634
3,O=C(Nc1ccc(Cl)c(-c2nc3ncccc3o2)c1)c1ccco1,0.029197080291970802,0.00033546262790251185,0.1634
4,c1ccc2c(CNCCCCCCNCCSSCCNCCCCCCNCc3cccc4ccccc34)cccc2c1,0.020100502512562814,0.00033546262790251185,0.1634
5,CNC(=O)C1OC(n2cnc3c(NOC)nc(I)nc32)C(O)C1O,0.096,1.0,0.1634
6,CC(C)=CCCC(C)=CCCC(C)=CCSc1ccccc1C(=O)NCCCCCCN,0.08053691275167785,0.1353352832366127,0.1634
7,O=C(Cn1nc(C(=O)O)c2ccccc2c1=O)Nc1ccc(F)cc1F,0.0916030534351145,0.1353352832366127,0.1634
8,CCOc1cccc(N2C(=O)CC(N3CCC(C(N)=O)(N4CCCCC4)CC3)C2=O)c1,0.1357142857142857,0.1353352832366127,0.1634
9,Cc1ccc(-n2c3c(cc(C(=O)N4CCN(C)CC4)c2=O)C(=O)CC(C)(C)C3)cc1,0.1,1.0,0.1634
10,COC1C=C2c3cc4c(cc3C(=O)N(C)C2C(OC)C1OC)OCO4,0.07633587786259542,0.1353352832366127,0.1634
11,O=C(CN1CCN(S(=O)(=O)N2CCOCC2)CC1)Nc1ccc(Cl)c(Cl)c1,0.09701492537313433,0.1353352832366127,0.1634
12,O=C(O)c1ccc2nc(-c3ccccc3)c(N3CCc4ccccc4C3)nc2c1,0.061224489795918366,0.00033546262790251185,0.1634
13,CCOc1ncc(-c2nc(C(=O)NCCC(=O)O)c(O)c3cc(-c4ccccc4)c(=O)n(Cc4ccccc4)c23)cn1,0.10404624277456648,1.522997974471263e-08,0.1634
14,O=C(c1ccccc1)c1cc2cc(O)ccc2[nH]1,0.03361344537815126,0.1353352832366127,0.1634
15,Nc1ncc(Cl)cc1-c1ccc(Oc2ncc(N=C(O)Nc3ccc(C(F)(F)F)cc3-n3cccn3)cn2)cc1,0.0335195530726257,1.522997974471263e-08,0.1634
16,C=CC1CC1(NC(=O)C1CC(n2cc(-c3ccccc3Cl)nn2)CN1C(=O)C(NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,0.1875,1.0,0.1532
17,NS(=O)(=O)c1ccc2c(c1)C(=NNc1ccccc1C(=O)O)C(=O)N2,0.06060606060606061,1.0,0.1532
18,COC(=O)Nc1nc2ccc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4Cl)cc3)cc2[nH]1,0.05521472392638037,0.00033546262790251185,0.1532
19,Fc1ccc(-c2nc(Nc3cc[nH]n3)c3ccccc3n2)cc1,0.007246376811594203,0.00033546262790251185,0.1532
20,COC1CC(O)(Cc2ccccc2)C(=O)N2C(C(=O)NCc3ccc(C(=N)N)cc3)CCC12,0.15492957746478872,1.0,0.1532
21,CC(C)CCNS(=O)(=O)c1ccc(-c2ccc(F)cc2)cc1,0.08196721311475409,1.0,0.1532
22,O=C(O)c1cc(=O)c2c(ccc3sc4ccc(Br)cc4c32)[nH]1,0.047244094488188976,0.00033546262790251185,0.1532
23,O=C(O)C(=O)NC(CS)C(=O)O,0.1744186046511628,0.00033546262790251185,0.1532
24,NC(=O)C1CCN(C(=O)COc2ccc3c4c(c(=O)oc3c2)CCCC4)CC1,0.15267175572519084,1.0,0.1532
25,N#Cc1ncn(-c2ccc(F)cc2)c1N=Cc1cc(O)c(O)c(O)c1,0.014388489208633094,0.1353352832366127,0.1532
26,Cc1nc[nH]c1Nc1nccc(-c2ccn(C(CO)c3ccc(Cl)c(F)c3)c(=O)c2)n1,0.046052631578947366,0.00033546262790251185,0.1532
27,CCc1nc2c(OCCn3cccc3)cccn2c1N(C)C(=O)c1ccc(OC)cc1,0.08108108108108109,0.00033546262790251185,0.1532
28,CC(C)(C)OC(=O)C1C(=O)N(C(=O)OC(C)(C)C)c2ccccc2-c2[nH]c3ccc(Br)cc3c21,0.08666666666666667,0.1353352832366127,0.1532
29,CNC(=NCCSCc1ccc2ccccc2n1)NS(=O)(=O)c1ccccc1,0.05555555555555555,0.1353352832366127,0.1532
30,Cc1c(C(=O)Nc2cc(S(=O)(=O)N3CCOCC3)ccc2N2CCOCC2)oc2ccccc12,0.08333333333333333,0.1353352832366127,0.1532
31,O=C(CO)N1CCC(C(=O)N2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.10362694300518134,0.1353352832366127,0.1532
32,O=C(COC(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1)NCc1cccs1,0.14728682170542637,1.0,0.1532
33,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,0.09883720930232558,0.00033546262790251185,0.1532
34,CCN(CC)S(=O)(=O)c1ccc(OC)c(NC(=O)OCc2ccccc2)c1,0.12307692307692308,1.0,0.1532
35,Cc1nn(-c2ccccc2)c2sc(C(=O)N3CCOCC3)cc12,0.06976744186046512,0.1353352832366127,0.1532
36,O=C(Nc1ccc(O)c(-c2nc3ccccc3o2)c1)c1sc2ccccc2c1Cl,0.03333333333333333,1.522997974471263e-08,0.1532
37,CC(C)C(NC(=O)c1cc2ccccc2cn1)C(=O)OCc1ccccc1,0.12121212121212122,0.1353352832366127,0.1532
38,CC(N)C(=O)Nc1nc(-c2ccccc2)c(C(C)(C)C)s1,0.07563025210084033,1.0,0.1532
39,O=Nc1c(O)n(Cc2c(Cl)cccc2Cl)c2ccccc12,0.031746031746031744,0.1353352832366127,0.1532
40,Cc1c(C)c2c(c(C)c1N)CC(C)(CN1CCN(C)CC1)O2,0.08264462809917356,0.1353352832366127,0.1532
41,Cc1ccc(S(=O)(=O)N(Cc2ccccc2)c2ccc(Nc3nc(N4CC(N)CC(N)C4)nc(N4CC(CN)CC(CN)C4)n3)cc2O)cc1,0.09230769230769231,0.00033546262790251185,0.1532
42,CCC(=C1C(=O)N(CCCN(C)C)c2ccc(F)cc21)c1ccc[nH]1,0.07633587786259542,1.0,0.1532
43,O=C(Cn1nc(Cl)nc1Cl)N1CCOCC1,0.08411214953271028,0.1353352832366127,0.1532
44,COc1ccc(CCN2CN=C(SCc3ccc(Cl)cc3)NC2)cc1,0.058823529411764705,1.0,0.1532
45,O=C(c1ccc(NS(=O)(=O)c2cccc3ocnc23)cc1)N1CCC(O)(c2ccccc2Cl)CC1,0.07547169811320754,0.00033546262790251185,0.1532
46,c1cc(OCCN2CCSCC2)cc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,0.054878048780487805,0.00033546262790251185,0.1532
47,Cc1ccc(C2=[N+]([O-])C3(CCCCCC3=NNC(N)=S)N(O)C2(C)C)o1,0.109375,0.1353352832366127,0.1532
48,Cc1cc(C(=O)N(C)C2CC[N+](C)(C)CC2)cc(-c2ccc(Oc3ccc(F)cc3)cc2)n1,0.09333333333333334,0.1353352832366127,0.1532
49,COC(=O)CC1=NN(c2ccccc2)C(=O)C1=Cc1cc(OC)c(OC)c(OC)c1,0.06896551724137931,1.0,0.1532
50,Cc1cc(C(=O)O)cc(N2CC3CC(c4ccccc4C(F)(F)F)CC3C2)n1,0.12030075187969924,1.0,0.1532
51,CC(C)(C)OC(=O)NCCCCCNC(=O)CCCCC1SCC2NC(=O)NC21,0.14285714285714285,0.00033546262790251185,0.1532
52,CC(C)CN1C(=O)CN(Cc2ccc(-c3ccc(F)c(CN4CCCC(F)C4)n3)cc2)C1=O,0.1232876712328767,1.0,0.1532
53,CC(c1ccccc1)N1C(=O)C2C3CCC(C3)C2C1=O,0.14285714285714285,0.1353352832366127,0.1532
54,N#Cc1cc(S(=O)(=O)Nc2cscn2)ccc1Oc1ccc(Cl)cc1-n1cnc(C(F)(F)F)c1,0.031055900621118012,0.00033546262790251185,0.1532
55,CNC(Cc1ccc2c(c1)OCO2)C(C)C,0.08411214953271028,0.1353352832366127,0.1532
56,O=C(CCCNC1=NS(=O)(=O)c2ccccc21)Nc1ccc(Cl)cc1,0.06766917293233082,1.0,0.1532
57,CN(C)c1ccc(-c2nc3c(N4CCN(CC(=O)Nc5nccs5)CC4)ccnc3[nH]2)cc1,0.07741935483870968,0.00033546262790251185,0.1532
58,CCOC(=O)C=CC(Cc1ccc(O)cc1)NC(=O)C(NC(=O)OC(C)(C)C)C(C)CC,0.1984732824427481,0.1353352832366127,0.167
