BO Iteration,Selected SMILES,Hypervolume,RefPoint,f1,f2
0,O=C(CN1C(=O)NC(Cc2ccccc2)C1=O)NC(=O)NC1CCCCC1,0.1402,"[0.087744, -0.099631]",0.17557252,1.0
1,Cc1ccccc1C(=O)Nc1nnc(S(=O)(=O)N2CCc3ccccc32)s1,0.1402,"[0.087744, -0.099631]",0.16666667,0.13533528
2,O=C(O)CSc1nnc(-c2ccccc2)c(-c2ccccc2)n1,0.1402,"[0.087744, -0.099631]",0.152,1.0
3,O=C(NO)c1ccc2c(c1)CC(NS(=O)(=O)c1cccc(Cl)c1)CC2,0.1402,"[0.087744, -0.099631]",0.1484375,1.0
4,CCn1c(Cc2ccccc2)nnc1SCC(=O)Nc1ccc2c(c1)OCO2,0.1402,"[0.087744, -0.099631]",0.17777778,0.13533528
5,NNC(=O)C(Cc1ccccc1)NC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,0.1402,"[0.087744, -0.099631]",0.15483871,1.26641655e-14
6,Cc1ccc(S(=O)(=O)C2(C(=O)N3CCCCCC3)CC2)cc1,0.1403,"[0.087744, -0.100000]",0.11290323,1.0
7,O=C1NC(Cc2ccccc2)C(=O)C1Cc1ccccc1,0.1403,"[0.087744, -0.100000]",0.16949153,1.0
8,Cc1onc(-c2ccccc2)c1COc1ccc(C(=O)NC2CN(C(=O)OC(C)(C)C)C2)cn1,0.1414,"[0.087744, -0.100000]",0.21985816,0.13533528
9,O=C(CNC(=O)c1ccc(N2CCCCC2)cc1)NC1CCCc2ccccc21,0.1419,"[0.087286, -0.100000]",0.17391304,0.13533528
10,COc1ccc(N2C(=O)C(CCCc3ccccc3)C2c2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cc2)cc1,0.1419,"[0.087286, -0.100000]",0.16969697,0.00033546
11,Nc1sc(-c2ccccc2)c(Cc2ccc(Cl)cc2)c1C(=O)c1ccc(Cl)cc1,0.1419,"[0.087286, -0.100000]",0.16788321,0.13533528
12,N#Cc1ccc(C2C3=C(CCC3=O)N(c3cccc(C(F)(F)F)c3)C(=O)N2C(=N)O)cc1,0.1419,"[0.087286, -0.100000]",0.11486486,0.13533528
13,N=C(N)CC1CCC(NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NS(=O)(=O)Cc2ccccc2)CC1,0.1419,"[0.087286, -0.100000]",0.13939394,0.13533528
14,Clc1ncc(C(Cl)(Cl)Cl)nc1-c1ccccc1,0.1419,"[0.087286, -0.100000]",0.14814815,0.13533528
15,Cc1ccc(CN(Cc2ccncc2)C2CCN(C)CC2)s1,0.1419,"[0.087286, -0.100000]",0.11904762,1.0
16,O=C(c1cccs1)N(Cc1cccs1)c1ccc([N+](=O)[O-])cc1,0.1419,"[0.087286, -0.100000]",0.13492063,1.0
17,ON=C(NC1CCCCC1)c1ccccc1Cc1ccccc1,0.1419,"[0.087286, -0.100000]",0.12403101,1.0
18,CNC(=O)c1ccc2cccc(CNC(C)=O)c2c1,0.1419,"[0.087286, -0.100000]",0.18181818,0.13533528
19,O=[N+]([O-])c1ccc(OC2CCCCC2Cn2ccnc2)cc1,0.1419,"[0.087286, -0.100000]",0.09302326,1.0
20,CC(C)(C)NCC(c1ccccc1)C1CCCCC1,0.1495,"[0.080340, -0.100000]",0.13913043,0.13533528
21,O=[N+]([O-])c1ccc(N2CCCC2)c2ccccc12,0.1495,"[0.080340, -0.100000]",0.13157895,1.0
22,O=C(O)Cc1sc(NCCc2ccccc2)nc1-c1ccc(Cl)cc1,0.1495,"[0.080340, -0.100000]",0.192,1.0
23,O=C(O)CN(Cc1ccccc1)S(=O)(=O)c1ccc(Cl)cc1,0.1495,"[0.080340, -0.100000]",0.17948718,0.13533528
24,Cc1ccc(NC(=O)CN2C(=O)C(=O)N(C3CCCC3)C2=O)c(Cl)c1,0.1495,"[0.080340, -0.100000]",0.17741935,1.0
25,CC1=CC(C)(C)N(C(=O)Nc2ccccc2)c2ccccc21,0.1495,"[0.080340, -0.100000]",0.1779661,1.0
26,O=C(NC1CN(Cc2ccccc2)CC1c1ccccc1)C1CCCCC1,0.1495,"[0.080340, -0.100000]",0.12142857,0.13533528
27,O=C1c2ccccc2C(=O)N1CNc1ccccc1,0.1495,"[0.080340, -0.100000]",0.15789474,1.0
28,O=C(Cc1ccccc1)Nc1nc2ccccc2n1CCN1CCCC1,0.1495,"[0.080340, -0.100000]",0.14925373,0.13533528
29,Cc1cc(OCC(=O)NCc2ccncc2)ccc1Cl,0.1495,"[0.080340, -0.100000]",0.18584071,0.13533528
30,Nc1ccc(C(=O)Nc2ccccc2N2CCCCC2)o1,0.1495,"[0.080340, -0.100000]",0.15,1.0
31,Cc1cccc(C)c1NC(=O)C1CC2CCC1C2,0.1495,"[0.080340, -0.100000]",0.14285714,1.0
32,CCN1CCN(C(=O)CSc2cc(=O)n(C)c3ccccc23)CC1,0.1495,"[0.080340, -0.100000]",0.18852459,1.0
33,CC(C)CC(=O)Nc1ccc2nc(SCC(=O)N3CCc4ccccc43)sc2c1,0.1495,"[0.080340, -0.100000]",0.19402985,0.13533528
34,CCCCc1ccc(NC(=O)CSc2nc3c(c(=O)n2C)SC(C)C3)cc1,0.1495,"[0.080340, -0.100000]",0.1953125,1.0
35,CC(=O)Nc1cc([N+](=O)[O-])ccc1N1CCN(C)CC1,0.1495,"[0.080340, -0.100000]",0.11864407,0.13533528
36,O=c1[nH]n(Cc2ccccc2F)c2ccccc12,0.1495,"[0.080340, -0.100000]",0.16216216,1.0
37,NC1=C(c2nc(-c3ccc(Cl)cc3)cs2)C(=O)CN1NC(=O)c1ccc(O)cc1,0.1495,"[0.080340, -0.100000]",0.13571429,0.13533528
38,COC(=O)C(=O)Nc1ccc(OC)c(=O)cc1,0.1495,"[0.080340, -0.100000]",0.20588235,0.00033546
39,O=c1c2ccccc2sc2c(Cn3ccnc3)ccc([N+](=O)[O-])c12,0.1495,"[0.080340, -0.100000]",0.1496063,0.13533528
40,O=C(Cn1sc2ccccc2c1=O)Nc1ccccc1F,0.1495,"[0.080340, -0.100000]",0.17094017,1.0
41,Cc1ccc(-n2nc3c(=O)n(CC(=O)NC4CCCCC4)nc(C)c3c2C)cc1,0.1495,"[0.080340, -0.100000]",0.16058394,0.13533528
42,CCCN=C(S)N1CCC(NC(=O)c2cccc(C)c2)CC1,0.1495,"[0.080340, -0.100000]",0.16806723,0.13533528
43,CC(=O)c1ccc(N2CCCC(CO)(Cc3ccccc3F)C2)nc1,0.1495,"[0.080340, -0.100000]",0.15625,1.0
44,CC(Nc1c(Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(=O)c1=O)c1ccccc1,0.1495,"[0.080340, -0.100000]",0.13669065,1.0
45,CN1CCN(CC(=O)n2c3c(c4ccccc42)CCCC3)CC1,0.1495,"[0.080340, -0.100000]",0.152,0.13533528
46,CC1(C)Oc2cc(O)ccc2C2C1=CCn1c(=O)n(-c3ccccc3Cl)c(=O)n12,0.1495,"[0.080340, -0.100000]",0.1969697,0.00033546
47,CN(Cc1nc2ccccc2c(=O)[nH]1)Cc1nnc(-c2ccccc2)o1,0.1495,"[0.080340, -0.100000]",0.15909091,0.13533528
48,O=C1c2ccccc2CSc2sccc21,0.1495,"[0.080340, -0.100000]",0.15238095,1.0
49,Cc1ccc(C(=O)N2CCCC(CCC(=O)NCc3ccccc3F)C2)cn1,0.1495,"[0.080340, -0.100000]",0.19847328,1.0
50,NCCCCN1c2ccccc2Sc2ccc(Cl)cc21,0.1503,"[0.080340, -0.100000]",0.21621622,1.0
51,COc1cccc(CNC(=O)c2cc(S(=O)(=O)N3CCCC3)cn2C)c1,0.1503,"[0.080340, -0.100000]",0.15384615,1.0
52,O=S(=O)(NC1CCC2(CC1)OCCO2)c1ccccc1Br,0.1503,"[0.080340, -0.100000]",0.12295082,1.0
53,Cc1ccccc1COc1ccc2c(c1)C1(C)CCCC(C)(C(=O)O)C1CC2,0.1503,"[0.080340, -0.100000]",0.2,0.13533528
54,O=C(O)CCCCCCN1C(=O)CCC1C=CC(O)c1cccc(Oc2ccccc2)c1,0.1503,"[0.080340, -0.100000]",0.16551724,1.0
55,O=C(NCc1cccs1)C1CCCN1S(=O)(=O)c1ccccc1F,0.1503,"[0.080340, -0.100000]",0.15079365,1.0
56,O=C(OCCCc1cccnc1)C1CCCN1S(=O)(=O)Cc1ccccc1,0.1503,"[0.080340, -0.100000]",0.18320611,1.0
