BO Iteration,Selected SMILES,EI,Objective Value
0,O=C(NCCNC1CCCCC1)c1ccco1,0.2869,0.1538
1,Cc1ccccc1CCN1CCCC(CN(C)C(=O)C(=O)c2ccco2)C1,0.2842,0.3838
2,O=C(CCC1CCCN(C(=O)c2ccco2)C1)NCc1ccccc1F,0.2812,0.375
3,OCC1CCCN(C(S)=NCCc2ccccc2)C1,0.2859,0.1248
4,Cc1ccccc1CC1(CO)CCCN(C(=O)c2ccoc2)C1,0.2815,0.3238
5,Cc1ccccc1CNC(=O)c1cncc(N2CC3CNCC3C2)c1,0.2835,0.3282
6,Cc1ccccc1CN(C)C(=O)CN1CCCC(Cn2cncn2)C1,0.2861,0.3549
7,CN(C)S(=O)(=O)N1CCCC(c2cccc(Cc3ccccc3F)n2)C1,0.2884,0.315
8,Cc1ccccc1COc1ccc2c(c1)C1(C)CCCC(C)(C(=O)O)C1CC2,0.2901,0.3693
9,COCC12CCOC1CCN(C(=O)Cc1ccccc1C)C2,0.2932,0.1355
10,CN(Cc1ccco1)C(=O)C1CCC(=O)N(CCc2cccc(F)c2)C1,0.29,0.3269
11,Cc1nccc(CNC(=O)N(CCCO)C2CCc3ccccc32)n1,0.2909,0.3162
12,Cc1ccccc1-c1nc(CN2CCCC(C(=O)NCc3cccnc3)C2)c(C)o1,0.2924,0.1235
13,CC(C)N1CCC(Oc2ccc(OCc3ccccc3Cl)c(CN(C)C)c2)C1,0.2897,0.3208
14,CCCCS(=O)(=O)N1CCC(N(Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1,0.2923,0.3076
15,Cc1cc(OCCCC(=O)NC2(C(N)=O)Cc3ccccc3C2)ccc1Cl,0.2932,0.3244
16,O=C1C2CC=CCC2C(=O)N1Cc1ccccc1Cl,0.2944,0.0962
17,CCOC(=O)C=CC(=O)Nc1ccccc1CCCN1CCC23CCCCC2C1Cc1ccc(O)cc13,0.2919,0.4502
18,CC1C2Cc3ccc(O)cc3C1(C)CCN2Cc1ccco1,0.2719,0.299
19,C#CCN(CCCCN1CCN(c2ccccc2)CC1)C1CCc2ccc(O)cc2C1,0.2712,0.2828
20,CCn1c(C(=O)NCCCN2CCc3ccccc3C2)cc2sccc21,0.2688,0.1146
21,Cc1ccc(Cl)cc1C(=O)N1CCC2(CC1)c1ccccc1C(N)C2O,0.2668,0.3015
22,Cc1nccn1CCC1CCCCN1Cc1ccc(O)cc1Cl,0.2669,0.3506
23,CC1CCCN1CCc1ccc2ccccc2c1,0.2681,0.2962
24,CN(CC(=O)N1CCN(C(=O)c2cccc(Cl)c2)CC1CN1CCCC1)c1ccc(Cl)c(Cl)c1,0.2682,0.3476
25,COc1cccc(C2CN3CCCC3c3cc(OCCCN4CCCCC4)ccc32)c1,0.2705,0.3299
26,Cc1cccc(C(=O)Nc2ccc(N3CCC(N4CCCCC4)CC3)c(C(=O)O)c2)c1,0.2712,0.3887
27,COc1ccccc1CC(=O)N(C)CC(c1cccc2c1OCO2)N1CCC(N2CCCCC2)CC1,0.2745,0.3581
28,COc1ccccc1CNC(=O)CN1C(=O)COc2ccc(S(=O)(=O)N3CCCCC3)cc21,0.2748,0.3499
29,COc1ccccc1CN1CC2CCCN3CCCC(C1CCCC(=O)O)C23,0.2763,0.1632
30,O=C(NC1CCCc2cc(CN3CCCCC3)ccc21)C(O)C(O)CS(=O)(=O)c1cccc(Cl)c1,0.2761,0.3754
31,COc1ccc(C(CNC(=O)COc2ccc(Cl)c(C)c2)N2CCCCC2)cc1,0.2776,0.3638
32,Cc1ccc(S(=O)(=O)CCC(=O)Nc2ccccc2N2CCCC2)cc1,0.2784,0.3522
33,CCC(O)(CC)c1ccccc1N1CCN(C(=O)C(Cc2ccc(Cl)cc2Cl)NC(=O)N2CCCC2=O)CC1,0.2786,0.4109
34,CCCC(O)C(CNCc1ccc(C)cc1C)NC(=O)CNC(=O)c1cc(C(F)(F)F)ccc1NC(=O)N1CCCC1,0.2808,0.4371
35,CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3ccc(C(F)(F)F)cc3)c(F)c2)CC1,0.285,0.3367
36,Cc1ccc(C)c(S(=O)(=O)N2CCN(CC(=O)NC(=O)NCc3ccco3)CC2)c1,0.2845,0.351
37,CC(C)CC(O)C(O)C(CC1CCCCC1)NC(=O)c1cc(NC(=O)CSc2ccccc2)ccc1CO,0.2844,0.432
38,O=C(COc1cccc(F)c1C(=O)N1CCCCC1)NC(CO)Cc1ccccc1,0.2876,0.393
39,CC(=O)c1cccc(-c2ccc(NC(=O)CCCCN3CCCCC3)cc2)c1,0.2864,0.378
40,CCC(CO)NCc1cccnc1N1CCN(C(=O)C(Cc2ccc(Cl)cc2Cl)NC(=O)CCN)CC1,0.2866,0.3792
41,CCCS(=O)(=O)NCC(=O)Nc1ccc2c(c1)C(C1(c3ccc(Cl)cc3)CCC1)NCC2,0.2871,0.3658
42,O=C(CCN1CCC(N2CCCCC2)CC1)Nc1cccc(NC(=O)Nc2ccc(N(CCCl)CCCl)cc2)c1,0.2878,0.3557
43,O=C(Nc1ccc(CC(NC(=O)C2(CCNC(=O)C(F)(F)F)CCCC2)C(=O)O)cc1)c1c(Cl)cccc1Cl,0.2881,0.3852
44,CN1CCN(C(CNC(=O)C(=O)Nc2ccc(Cl)c(F)c2)c2ccccc2Cl)CC1,0.2903,0.3273
