BO Iteration,Selected SMILES,Hypervolume,RefPoint,f1,f2,f3
0,O=C(O)c1cc(C2CC2)ccc1Nc1ccc(-c2ccccc2Cl)nc1,0.2085,"[-0.099991, 0.042507, -0.094874]",0.02109663,0.21653543,0.22734997
1,O=c1cc(OCc2ccccc2)ccn1-c1ccc2c(c1)CCN2C1CNC1,0.2175,"[-0.099991, 0.042507, -0.094874]",7.78092686e-05,3.06946688e-01,1.0
2,O=C1C(=CC=Cc2ccco2)SC(=Nc2ccccc2)N1c1ccccc1,0.2175,"[-0.099991, 0.042507, -0.094874]",5.74968439e-05,0.166908563,0.258715654
3,CNC(C)C(O)=Nc1ccc(-c2c(-c3ccncc3)nc3cc(C)ccn23)c(C#Cc2ccc3c(c2)OCC(=O)N3C)n1,0.2179,"[-0.099991, 0.042507, -0.094874]",1.0,0.15716374,0.77298995
4,Cc1nn(-c2ccccc2)c2c1c(=O)oc1ccc(Br)cc12,0.2179,"[-0.099991, 0.042507, -0.094874]",0.000149621094,0.128617363,0.979642102
5,Cc1cccc(C)c1NC(=O)CC(NCc1ccco1)C(=O)O,0.219,"[-0.099991, 0.042507, -0.094874]",1.0,0.16004862,1.0
6,COc1ccccc1CC(=O)Nc1c(O)c2ccccc2oc1=O,0.219,"[-0.099991, 0.042507, -0.094874]",0.99246404,0.15576324,1.0
7,COc1ccc(CC(=O)Nc2ccc3c(c2)C(=O)N(CCC(=O)O)C3=O)cc1,0.2244,"[-0.099991, 0.042507, -0.094874]",1.0,0.2118003,1.0
8,COc1ccc(C2OC(=O)Cc3cc(OC)c(OC)cc32)cc1,0.2244,"[-0.099991, 0.042507, -0.094874]",0.0015283,0.18089431,1.0
9,COc1ccc(CC(=O)Nc2c(C(=O)N3CCN(c4ccccc4OC)CC3)oc3ccccc23)cc1OC,0.257,"[-0.099991, 0.042507, -0.094874]",1.0,0.25029621,0.83416636
10,Cc1ccc(C)c(S(=O)(=O)N2CCN(CC(=O)NC(=O)NCc3ccco3)CC2)c1,0.2573,"[-0.099991, 0.042507, -0.094874]",1.0,0.21386431,1.0
11,COc1cccc(Cn2nnc(-c3cccc(C(=O)NCc4ccc(C(=O)O)cc4)c3)n2)c1,0.2573,"[-0.099991, 0.042507, -0.094874]",1.0,0.17664872,1.0
12,COc1ccnc(Nc2cc(C)cc(-c3ccc(CCC(=O)O)cc3)c2)n1,0.2573,"[-0.099991, 0.042507, -0.094874]",0.85199212,0.20068807,0.97578461
13,COC(=O)C1CC(NC(=O)Cn2c(=O)cc(C)c3ccccc32)CN1C,0.2573,"[-0.099991, 0.042507, -0.094874]",0.64529481,0.20801233,1.0
14,COC(CNC(=O)C1CCCN1C(=O)OCc1ccccc1)OC,0.2573,"[-0.099991, 0.042507, -0.094874]",0.4351563,0.18760196,1.0
15,Cc1cccc(C)c1NC(=O)c1cc(-c2ccc(NC(=N)N)cc2)[nH]n1,0.2573,"[-0.099991, 0.042507, -0.094874]",1.0,0.12072808,1.0
16,COc1cccc(OC)c1-c1ccc(CC(Nc2ccc(S(=O)(=O)N3CCCC3)cc2)C(=O)O)cc1,0.2934,"[-0.099991, 0.042507, -0.094874]",1.0,0.28204272,0.9659813
17,Cc1ccc(C2(O)CCN(C(=O)c3cccc(S(C)(=O)=O)c3)CC2)nc1,0.2941,"[-0.099991, 0.042507, -0.094874]",0.97090709,0.23412698,1.0
18,COc1ccc(-c2nn(C)c(=O)c3ccccc23)cc1NS(C)(=O)=O,0.2941,"[-0.099991, 0.042507, -0.094874]",1.0,0.1317716,1.0
19,COCC(C)n1c(C)cc(C(=O)COc2ccc(S(=O)(=O)N3CCOCC3)cc2Cl)c1C,0.2941,"[-0.099991, 0.042507, -0.094874]",0.95798372,0.17375169,1.0
20,CNC(=O)c1ccc2cccc(CNC(C)=O)c2c1,0.2941,"[-0.099991, 0.042507, -0.094874]",0.00636972,0.14483066,1.0
21,COc1ccc(C)cc1NC(=O)NCc1ccc2c(c1)CCN2C(=O)c1ccccc1,0.2941,"[-0.099991, 0.042507, -0.094874]",0.15439446,0.24524158,0.8697859
22,CCc1ccc(N2CCN(C(=O)c3ccc(OC)c(OC)c3)CC2)cc1,0.2941,"[-0.099991, 0.042507, -0.094874]",9.97727551e-06, 2.43506494e-01, 1.0
23,COc1ccc(Cn2cc(CNC(=O)c3cccnc3Nc3ccc(OC)cc3)nn2)cc1,0.2941,"[-0.099991, 0.042507, -0.094874]",1.0,0.20089286,1.0
24,CCOC(=O)Nc1cc2c(nc(SCc3ccc(OC)cc3)n2N)c(N)n1,0.2941,"[-0.099991, 0.042507, -0.094874]",1.0,0.10729614,1.0
25,COc1cccc(OC)c1C(=O)Nc1cccc(-c2ccc(N3CCOCC3)nn2)c1,0.2942,"[-0.099991, 0.042507, -0.094874]",0.91596191,0.23792614,1.0
26,CCOc1ccc(-c2nnc(NC(=O)CCCOc3cccc(C)c3)o2)cc1,0.2942,"[-0.099991, 0.042507, -0.094874]",0.939928,0.1882764,0.97127872
27,O=C(CN1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1)Nc1cccc(F)c1,0.2946,"[-0.099991, 0.042507, -0.094874]",0.9835744,0.24887725,1.0
28,O=C(O)c1nn(CCOc2cccc(Br)c2)c(=O)c2ccccc12,0.2946,"[-0.099991, 0.042507, -0.094874]",0.69206043,0.1765873,1.0
29,O=C(Nc1ccc(Cl)cc1)c1cc(-c2cccc(O)c2)on1,0.2946,"[-0.099991, 0.042507, -0.094874]",0.3424437,0.14303483,1.0
30,CCOc1ccccc1NC(=O)CCN1CCN(S(=O)(=O)c2ccc(OC)cc2)CC1,0.337,"[-0.099991, 0.042507, -0.094874]",0.9835744,0.32176287,1.0
31,COC(=O)C1=C(c2cccc(OCc3ccccc3)c2)CC2CCC1N2C(=O)NCc1ccc(N(C)C)cc1,0.337,"[-0.099991, 0.042507, -0.094874]",0.16793799,0.30747837,0.37284554
32,COc1ccc(CC(=O)CC(=O)NC2CCOC2=O)cc1,0.337,"[-0.099991, 0.042507, -0.094874]",0.70860998,0.17513135,1.0
33,Cc1ccc(NC(=O)C2CCCN2S(=O)(=O)c2cccc3cccnc23)c(C)c1,0.337,"[-0.099991, 0.042507, -0.094874]",0.56836896,0.2318117,1.0
34,COc1ccc(-c2cnc3ccccn3c2=O)cc1,0.337,"[-0.099991, 0.042507, -0.094874]",2.11303534e-05,1.83486239e-01,1.0
35,CCC(Nc1cccc(OC)c1)C(=O)NCc1ccc2[nH]c(=O)[nH]c2c1,0.337,"[-0.099991, 0.042507, -0.094874]",1.0,0.17554012,1.0
36,COc1ccc(CNS(=O)(=O)c2ccc3oc(C(=O)O)c(C)c3c2)cc1,0.337,"[-0.099991, 0.042507, -0.094874]",1.0,0.17366412,1.0
37,COc1ccc(NC(=O)C2CCCN(S(=O)(=O)c3cccc4nonc34)C2)cc1OC,0.337,"[-0.099991, 0.042507, -0.094874]",1.0,0.21522039,1.0
38,Cc1cccnc1NC(=O)c1cccc(S(=O)(=O)N2CCCC2)c1,0.337,"[-0.099991, 0.042507, -0.094874]",0.56836896,0.21783388,1.0
39,CCC(=O)Nc1cccc(-c2cn3cccc(C)c3n2)c1,0.337,"[-0.099991, 0.042507, -0.094874]",7.44934020e-05, 1.89130435e-01, 1.0
40,Cc1ccc(N2C(=O)c3ccc(C(=O)Nc4cccnc4)cc3C2=O)c(C)c1,0.337,"[-0.099991, 0.042507, -0.094874]",0.56836896,0.14551192,1.0
41,COc1ccc2oc(=O)c(C(=O)Nc3cccc(C(C)=O)c3)cc2c1,0.337,"[-0.099991, 0.042507, -0.094874]",0.90813657,0.13533835,1.0
42,COc1ccc(NC(=O)CCNS(=O)(=O)c2ccc(C(=N)N)cc2)cc1OC,0.337,"[-0.099991, 0.042507, -0.094874]",1.0,0.15416048,1.0
43,Cc1cc(F)ccc1NC(=O)CCc1ccc(S(=O)(=O)N2CCOCC2)cc1,0.337,"[-0.099991, 0.042507, -0.094874]",0.36022714,0.21511628,1.0
44,COc1ccc(S(=O)(=O)NCCSC2c3ccccc3COc3ccc(C(=O)O)cc32)cc1OC,0.337,"[-0.099991, 0.042507, -0.094874]",1.0,0.25,0.99545026
45,CCC(C(=O)Nc1ccccc1OC)n1c(C(=O)OC)cc2ccsc21,0.337,"[-0.099991, 0.042507, -0.094874]",0.12381485,0.14326648,0.996153
46,Cc1csc(NC(=O)c2cccc(Oc3ccc(S(C)(=O)=O)cc3)c2)n1,0.337,"[-0.099991, 0.042507, -0.094874]",0.89794362,0.15648855,1.0
47,COc1cccc(NC(=O)c2cccc(OC)c2)c1,0.337,"[-0.099991, 0.042507, -0.094874]", 1.22700025e-04, 1.65307971e-01,1.0
48,CCc1ccc(C=NNC(=O)Nc2c(C)cccc2C)cc1,0.337,"[-0.099991, 0.042507, -0.094874]",0.00127488,0.14495798,0.99977019
49,COc1ccc(CCNCC(O)COC(=O)c2ccc(N)cc2)cc1OC,0.337,"[-0.099991, 0.042507, -0.094874]",1.0,0.22504092,1.0
