BO Iteration,Selected SMILES,Hypervolume,RefPoint,f1,f2
0,CCn1cnnc1CNC(=O)c1cc(Cl)c(I)cc1OC,0.1578,"[0.021106, -0.100000]",0.09322034,1.0
1,CCN1CCC(N(Cc2cccc(OC)c2)C(=O)Nc2ccc(C)cc2Cl)CC1,0.1578,"[0.021106, -0.100000]",0.14179104,1.0
2,O=C(OCCN1CCOCC1)c1ccc(N=NNc2ccc(C(=O)OCCN3CCOCC3)cc2)cc1,0.1578,"[0.021106, -0.100000]",0.11111111,1.0
3,O=C(NCCN1CCOCC1)c1cc2ccccc2o1,0.1578,"[0.021106, -0.100000]",0.09243697,1.0
4,CC(=O)c1ccc(N(C(=O)CNC(=O)c2ccco2)C(C(=O)NC2CCCC2)c2ccncc2)cc1,0.1578,"[0.021106, -0.100000]",0.16,0.13533528
5,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C(=O)CCCN)CC2)CC1,0.1578,"[0.021106, -0.100000]",0.15827338,0.13533528
6,CCOC(=O)C1CCN(C(=O)COc2cccc(C)c2)CC1,0.1667,"[0.021106, -0.100000]",0.20909091,0.13533528
7,CCNc1nc(C)c2cc(-c3cccnc3N)c(=O)n(C3CCCC3)c2n1,0.171,"[0.017285, -0.100000]",0.13846154,0.13533528
8,Cc1ccc(NC(=O)c2cnoc2C)cc1C(=O)Nc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1,0.171,"[0.017285, -0.100000]",0.08928571,0.00033546
9,CC(C)(C)C(=O)Nc1ccc(N2CCN(Cc3ccccc3)CC2)c(Cl)c1,0.171,"[0.017285, -0.100000]",0.09701493,1.0
10,O=C(Nc1cccc(CN2CCC(C(O)=NC3CCCCC3)CC2)c1)c1ccncc1Cl,0.171,"[0.017285, -0.100000]",0.15492958,1.0
11,CCOc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3Cl)c2cc1N1CCCN(C)CC1,0.171,"[0.017285, -0.100000]",0.11564626,0.13533528
12,C=CCOc1c(Cl)cccc1C(=O)NC1(C(=O)O)Cc2ccccc2C1,0.171,"[0.017285, -0.100000]",0.09923664,1.0
13,Cc1nnn(-c2ccc(Cl)cc2)c1C(=O)N1CCN(c2ccc([N+](=O)[O-])cc2Cl)CC1,0.171,"[0.017285, -0.100000]",0.06756757,0.13533528
14,COc1ccc(Br)c(O)c1C(=O)NCCCCN1CCN(c2nsc3ccccc23)CC1,0.171,"[0.017285, -0.100000]",0.10135135,0.13533528
15,CC(C)(C)CC(C)(C)NC1=Nc2ccccc2NC12CC1CCCC(=O)N3CCC(C2)C13,0.171,"[0.017285, -0.100000]",0.14184397,0.13533528
16,NC1=NC(c2cc(NC(=O)c3ccc(=O)[nH]c3)ccc2F)(C(F)F)COC1,0.171,"[0.017285, -0.100000]",0.05797101,1.0
17,N#CC(Cc1ccc(-c2ccc(S(=O)(=O)N3CCC(F)(F)CC3)cc2)cc1F)NC(=O)C1NC2CCC1C2,0.171,"[0.017285, -0.100000]",0.13375796,1.0
18,Fc1ccc(C(OCCN2C3CCC2CC(Cc2ccccc2)C3)c2ccc(F)cc2)cc1,0.171,"[0.017285, -0.100000]",0.10526316,0.13533528
19,O=C(NCc1ccccc1Cl)C1CCCN1C(=O)NC1CCCCC1,0.171,"[0.017285, -0.100000]",0.19166667,0.13533528
20,CC(=O)Oc1cccc(C(=O)N(O)CCC(c2ccc(Cl)c(Cl)c2)P(=O)(O)O)c1,0.171,"[0.017285, -0.100000]",0.1037037,1.0
21,O=C(Nc1cccc(Cl)c1N1CCOCC1)c1ccc([N+](=O)[O-])o1,0.171,"[0.017285, -0.100000]",0.07751938,1.0
22,CC(O)(C(=O)Nc1ccc(S(=O)(=O)c2ccccc2)c(C(=O)O)c1)C(F)(F)F,0.171,"[0.017285, -0.100000]",0.08208955,1.0
23,CCN(CC)C(=O)c1ccc(CNS(=O)(=O)c2cccc(Cl)c2)cc1,0.171,"[0.017285, -0.100000]",0.1023622,1.0
24,COc1ccc(C=NNC(=O)c2cccc(O)c2)cc1Cn1nc(C)c([N+](=O)[O-])c1C,0.171,"[0.017285, -0.100000]",0.08275862,0.13533528
25,NS(=O)(=O)c1cc(NC(=O)NCCCN2CCOCC2)c(Cl)cc1Cl,0.171,"[0.017285, -0.100000]",0.11111111,0.13533528
26,COc1cc(SC)ccc1C(=O)Nc1cccc(S(=O)(=O)NC2=NCCCCC2)c1,0.171,"[0.017285, -0.100000]",0.11428571,1.0
27,O=C(Nc1ccc(Cl)c(Cl)c1)c1cc2ccccc2o1,0.171,"[0.017285, -0.100000]",0.03225806,0.13533528
28,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc2ccc(O)cc2oc1=O,0.1739,"[0.014575, -0.100000]",0.12056738,0.13533528
29,CC(=O)NC(C)c1ccc(OC2CCN(c3ncnc(OC4CCC4)c3Cl)C2)cc1,0.1739,"[0.014575, -0.100000]",0.14705882,1.0
30,CCCOC(=O)Nc1ccc(S(=O)(=O)N2CC(c3ccccc3)NC2=O)cc1CC,0.1739,"[0.014575, -0.100000]",0.13970588,1.0
31,NC(=O)c1cc(-c2ccccc2)nc(N2CCOCC2)n1,0.1739,"[0.014575, -0.100000]",0.06451613,1.0
32,O=C(Nc1ccccc1[N+](=O)[O-])c1ccccc1NC(=O)C1CCCCC1,0.1739,"[0.014575, -0.100000]",0.15625,1.0
33,O=C(c1ccc(NS(=O)(=O)c2cccc(F)c2)cc1)N1CCCCC1,0.1739,"[0.014575, -0.100000]",0.109375,1.0
34,O=C(NCc1ccc(F)cc1)c1cc(S(=O)(=O)N2CCCCC2)c[nH]1,0.1739,"[0.014575, -0.100000]",0.11811024,1.0
35,O=C(COc1ccc(S(=O)(=O)NC2CCCCC2)cc1)NCCC1=CCCCC1,0.1739,"[0.014575, -0.100000]",0.16541353,0.13533528
36,O=C(Nc1ccc(Cl)cc1)C1CCCN(S(=O)(=O)c2c[nH]cn2)C1,0.1739,"[0.014575, -0.100000]",0.112,1.0
37,CC(=O)Nc1ccc(NC(=O)COC(=O)c2ccccc2SCC(=O)N2CCCC2)cc1,0.1739,"[0.014575, -0.100000]",0.15714286,1.0
38,COc1cccc(CNC(=O)c2cc(S(=O)(=O)N3CCCC3)cn2C)c1,0.1739,"[0.014575, -0.100000]",0.13385827,1.0
39,COc1ccc(S(=O)(=O)Nc2cc(Cl)ccc2C(=O)O)cc1,0.1739,"[0.014575, -0.100000]",0.08264463,1.0
40,CCOc1ccc(NS(=O)(=O)c2cc(C(=O)N3CCCC3)ccc2Cl)cc1,0.1739,"[0.014575, -0.100000]",0.13953488,1.0
41,Cc1ccc(S(=O)(=O)N2CC(C)N(C(=O)N3CCOCC3)C2C)cc1,0.1739,"[0.014575, -0.100000]",0.13821138,0.13533528
42,CC(=O)NC(CC(=O)Nc1cccc(S(=O)(=O)N2CCCCC2)c1)c1ccccc1,0.1739,"[0.014575, -0.100000]",0.13868613,1.0
43,CC(=O)c1cc(CNC(=O)c2ccc(OP(=O)(O)O)cc2)ccc1OCC1CCCCC1,0.1921,"[0.014575, -0.100000]",0.18382353,1.0
44,COc1cccc(NS(=O)(=O)c2ccc3c(c2)CCCN3C(C)=O)c1,0.1921,"[0.014575, -0.100000]",0.11023622,1.0
45,CC(C)OC(=O)C1CC=CCC1C(=O)Nc1ccc(Cl)cc1,0.1921,"[0.014575, -0.100000]",0.13793103,0.13533528
46,Cc1ccc(NC(=O)c2c(F)cccc2Cl)cc1S(=O)(=O)N1CCOCC1,0.1921,"[0.014575, -0.100000]",0.08955224,1.0
47,CCn1c(CNc2ccc(F)cc2)nnc1SCC(=O)OC1CCCCC1,0.1921,"[0.014575, -0.100000]",0.18253968,1.0
48,CC(=O)Nc1ccc(S(=O)(=O)N2CCOC(Cn3ccnc3)C2)cc1,0.1921,"[0.014575, -0.100000]",0.10077519,1.0
49,CC(OC(=O)c1cccc(S(=O)(=O)N(C)C)c1)C(=O)NCC(=O)Nc1ccc(F)c(F)c1F,0.1921,"[0.014575, -0.100000]",0.11971831,1.0
50,Cc1cc(-c2nnc(NCCCN3CCCCC3)o2)ccc1NC(=O)c1ccccc1F,0.1921,"[0.014575, -0.100000]",0.10810811,0.13533528
51,CC(=O)N1CCN(S(=O)(=O)c2cccc(C(=O)OCC(=O)NC(=O)c3cccn3C)c2)CC1,0.1921,"[0.014575, -0.100000]",0.14084507,1.0
52,CCOc1ccccc1NC(=O)CCN1CCN(S(=O)(=O)c2ccc(OC)cc2)CC1,0.1921,"[0.014575, -0.100000]",0.13571429,1.0
53,O=C(COC(=O)c1cnc(O)nc1O)Nc1cccc(S(=O)(=O)N2CCCCC2)c1,0.1921,"[0.014575, -0.100000]",0.14814815,1.0
54,CC(=O)N1c2ccccc2CC1C(=O)N1CCN(c2cccc(Cl)c2)CC1,0.1921,"[0.014575, -0.100000]",0.11278195,1.0
55,O=C(COc1ccc(S(=O)(=O)N2CCCC2)cc1)NCc1ccccn1,0.1921,"[0.014575, -0.100000]",0.12307692,1.0
56,O=C(c1ccc(F)cc1)N1CCN(C2=NS(=O)(=O)c3ccccc32)CC1,0.1921,"[0.014575, -0.100000]",0.07407407,1.0
57,O=C(OCC(=O)c1ccc[nH]1)c1ccc(S(=O)(=O)N2CCCCC2)cc1,0.1921,"[0.014575, -0.100000]",0.14173228,1.0
58,Cc1cccnc1NC(=O)c1cccc(S(=O)(=O)N2CCCC2)c1,0.1921,"[0.014575, -0.100000]",0.112,1.0
59,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)Nc1ccc(F)cc1,0.1921,"[0.014575, -0.100000]",0.11290323,1.0
60,COc1cccc(NC(=O)C(=O)NCCc2ccc(F)cc2)c1,0.1921,"[0.014575, -0.100000]",0.088,1.0
61,NC(=O)c1ccc(NC(=O)CN2CCN(S(=O)(=O)c3ccc4c(c3)OCCO4)CC2)cc1,0.1921,"[0.014575, -0.100000]",0.10204082,1.0
62,O=C(CNc1ccc(C(F)(F)F)cc1)Nc1cccc(S(=O)(=O)N2CCCC2)c1,0.1921,"[0.014575, -0.100000]",0.10144928,1.0
63,CCOc1cc(NC(=O)N2CCC(O)(CC(CC)CC)CC2)cc(Oc2ccc(F)cc2)c1,0.1921,"[0.014575, -0.100000]",0.14685315,1.0
64,O=C(CN(c1cccc([N+](=O)[O-])c1)S(=O)(=O)c1ccccc1)N1CCCCC1,0.1921,"[0.014575, -0.100000]",0.10294118,1.0
65,CS(=O)(=O)N1CCc2cc(C(=O)OCC(=O)c3ccccc3)ccc21,0.1921,"[0.014575, -0.100000]",0.11023622,1.0
66,Cc1ccc(C)c(NC(=O)COC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)c1,0.1921,"[0.014575, -0.100000]",0.15151515,1.0
67,O=C(CS(=O)(=O)c1ccc(F)cc1)NCc1ccccc1,0.1921,"[0.014575, -0.100000]",0.06557377,1.0
