BO Iteration,Selected SMILES,EI,Objective Value
0,CCn1c(C)nnc1SCC(=O)Nc1cccc(Cl)c1,0.2388,0.1638
1,CCCCOc1ccc(NC(=O)c2ccc(OC)cc2)cc1,0.2377,0.1631
2,Cc1ccc(N2CCN(CC(=O)Nc3ccc(Br)cc3)CC2)cc1Cl,0.233,0.3953
3,Cc1ccc2c(CC(=O)Nc3ccc(N4CCN(C)CC4)cc3C)coc2c1,0.2384,0.1406
4,COc1ccc(C(CNC(=O)COc2ccc(Cl)c(C)c2)N2CCCCC2)cc1,0.236,0.4303
5,COc1ccc(OCC(=O)Nc2ccc3c(c2)nc(CCN2CCCC2)n3C)cc1,0.2467,0.1486
6,Cc1cc(OCCCC(=O)NCCc2nnc3ccccn23)ccc1Cl,0.2444,0.4752
7,Cc1cc(OCC(=O)NCc2ccncc2)ccc1Cl,0.2587,0.1586
8,Cc1cc(OCCCC(=O)NC2(C(N)=O)Cc3ccccc3C2)ccc1Cl,0.2448,0.5143
9,Cc1cc(OCCCc2c(C(=O)O)[nH]c3cccc(Cl)c23)ccc1Cl,0.242,0.4851
10,COc1ccc(C#N)cc1COc1ccc(Cl)c(C)c1,0.2433,0.1682
11,Cc1ccc(NC(=O)CCCOc2ccccc2)cc1S(=O)(=O)N1CCOCC1,0.2416,0.4303
12,CCOc1ccc(-c2nnc(NC(=O)CCCOc3cccc(C)c3)o2)cc1,0.2451,0.4641
13,Cc1cccc(OCCC(=O)NCC(=O)Nc2cccc(C)c2C)c1,0.2493,0.1784
14,N=C(N)Nc1ccc(OCCCCCOc2ccc(NC(=N)N)c(Cl)c2)cc1Cl,0.2443,0.1595
15,CC(=O)c1ccc(OCCCC(=O)Nc2cc(Cl)ccc2-n2cncn2)cc1,0.2404,0.4352
16,CCc1ccc(OCCCC(=O)Oc2ccc3c(C)cc(=O)oc3c2)cc1,0.244,0.4611
17,CC1CCc2c(sc(NC(=O)CCCOc3ccc(C(C)(C)C)cc3)c2C(N)=O)C1,0.2472,0.4606
18,CCN(CC)CCCOc1ccc(C=C2C(=O)Nc3ccc(Cl)cc32)cc1,0.2495,0.4507
19,CCOc1ccc(C=C2SC(=S)N(CCC(=O)Nc3cccc(C(=O)O)c3)C2=O)cc1,0.2543,0.4341
20,O=C(O)Cc1ccc(OCCN2C(=O)COc3ccsc32)cc1,0.2535,0.4032
21,CCCCNC(=O)CN1C(=O)C(=Cc2ccc(-c3ccc(Cl)cc3)o2)SC1=S,0.2549,0.4264
22,CCN(CC)CCCOc1ccc(-c2nn(C(C)C)c(=O)c3ccsc23)cc1,0.2563,0.4159
23,CN(C)CCCOc1ccc(-c2nc3cc(C(N)=O)ccc3[nH]2)cc1,0.259,0.4399
24,CCn1c(=N)n(CCCOc2ccc(F)cc2)c2ccccc21,0.2593,0.4378
25,Cc1ccc(=O)n(-c2ccc(OCCCCN3CCCC3)cc2)c1,0.2604,0.3853
26,NC(=O)C1CC(=O)N(c2ccc(OCc3c(F)cccc3Cl)cc2)C1,0.261,0.4635
27,CCNC(=O)C1CC(=O)N(Cc2ccc3c(c2)OCO3)C(=Nc2ccc(OCC)cc2)S1,0.2627,0.1533
28,CC(C)(Oc1cccc(OCCN2CC=C(c3ccc(Cl)cc3)CC2)c1)C(=O)O,0.2617,0.4216
29,O=C(CCCOc1ccccc1)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,0.2646,0.4248
30,CC(C)(C)c1ccc(OCCn2ccccc2=O)cc1,0.2654,0.1548
31,CN(CCOc1ccc2c(c1)C(Cc1ccc(Cl)cc1)C(N)CC2)S(=O)(=O)CC1CC1,0.2632,0.156
32,CCCCCOc1cccc(C2C(C(=O)c3cccs3)=C(O)C(=O)N2CCN2CCOCC2)c1,0.2609,0.1606
33,O=C(CCCCl)NCCc1c(Sc2ccc(F)cc2)sc2ccc(F)cc12,0.2595,0.3863
34,COCCCNC(=O)Cn1c(=O)n(-c2ccc(Cl)cc2)c(=O)c2c3c(sc21)CCCCC3,0.2584,0.1574
35,O=C(O)CCc1ccc(-c2ccc(Cl)cc2)o1,0.2576,0.146
36,CCCc1c(OCCCCOc2ccc(S(N)(=O)=O)cc2)ccc(C(C)=O)c1O,0.2562,0.1677
37,CCCOc1ccc(N2CCC(Oc3ccc(C(C)C(O)=NCC)cc3)C2)c(Cl)c1,0.2548,0.4372
38,Cc1cc(-c2ccc3c(c2)CCN(CCCOc2ccc4c(c2)CCN4C(=O)C=Cc2ccccc2Cl)CC3)no1,0.2566,5.231e-05
39,CC1=NN(c2ccc(Cl)c(C(=O)O)c2)C(=O)C1=Cc1ccc(C(C)C)cc1,0.2538,0.4239
40,CCOc1ccc(C(=O)C(C)OC(=O)c2nc(Cl)ccc2Cl)cc1,0.2538,0.1815
41,CN(C)CCCOc1ccc2c(c1)nc(N)n2-c1ccc(N(C)C)cc1,0.2529,0.4035
42,CN(CCCCN1CCNC1=O)Cc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,0.2546,0.1415
43,O=C1NC(=O)C(=Cc2ccc(OC3CCN(C(=O)c4cccc(Cl)n4)CC3)cc2)C(=O)N1,0.2507,0.1465
44,CCN(CC)C(=S)SCCC(=O)NC(=O)Oc1ccc(C(C)C)cc1,0.2503,0.007953
45,N#CCCN1N=C(c2ccc(OCc3cccc(Cl)c3)cc2)OCC1=O,0.2489,0.4004
46,Cc1ccc(COc2ccc(-c3nnn(CCO)n3)cc2)cc1,0.2485,0.378
