BO Iteration,Selected SMILES,Hypervolume,f1,f2,f3
0,Cc1ccc2c(N3CCN(CCc4cccc(NC(=O)c5scnc5C)c4)CC3)cccc2n1,0.2017,0.01655201,0.35660661,0.65184921
1,Cn1c(=O)c2nc(SCC(=O)Nc3ccc(OC(F)(F)F)cc3)n(C)c2n(C)c1=O,0.2107,1.0,0.09408602,1.0
2,NC(=O)c1cccc2c(NCc3ccc(NS(=O)(=O)c4ccccc4)cc3)ncnc12,0.2548,1.0,0.17932489,1.0
3,Cc1cc(COc2ccc(NC(=O)C3CN(C)CCC3C(=O)NO)cc2)c2ccccc2n1,0.2586,1.0,0.26034237,1.0
4,COc1ccc(C(CC(=O)NCc2ccccc2)N2C(=O)c3ccccc3C2=O)cc1OC,0.2586,0.87983754,0.21223471,1.0
5,CN(C(=O)CSc1nc2ccccc2c(=O)[nH]1)C1CCCCC1,0.2586,0.05694793,0.21043771,1.0
6,CCOC(=O)c1[nH]c2c(c1Cc1ccccc1)C(=O)CC(c1ccc(OC)cc1)C2,0.2586,0.09681431,0.20719178,0.78078448
7,O=C(NCc1ccccn1)c1ccc(Cn2c(=S)[nH]c3ccccc3c2=O)cc1,0.2586,0.59318913,0.17518248,1.0
8,Cc1c(OCC(=O)NC(Cc2c[nH]c3ccccc23)C(=O)O)ccc2c1oc(=O)c1ccccc12,0.2586,1.0,0.21944083,1.0
9,O=C(CCc1ccccc1)Nc1ccc2c(Cl)c(OCCBr)oc(=O)c2c1,0.2586,0.09999271,0.2025463,0.73113513
10,O=C(CNC(=O)c1ccc(N2C(=O)c3ccccc3C2=O)cc1)OCC(=O)c1ccccc1,0.2586,1.0,0.20486111,1.0
11,O=C(CSc1nnc(CNC(=O)c2ccc(F)cc2)o1)c1ccccc1,0.2586,0.88644119,0.14820593,1.0
12,Cc1noc(NS(=O)(=O)c2ccc(NC(=O)c3cc(-c4ccccc4Cl)nc4ccccc34)cc2)c1C,0.2586,1.0,0.13150289,0.08638041
13,Cc1ccc(NC(=O)c2c(Nc3ccccc3C)sc(C(=O)c3ccccc3)c2N)cc1,0.2586,0.84616407,0.11187351,0.09411621
14,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cc2ccc(O)cc2oc1=O,0.3516,0.77055673,0.38461538,1.0
15,COc1ccc(CCCCCCCCOc2ccc(COc3cccc(C(=O)O)c3)[n+]([O-])c2C=CC(=O)O)cc1,0.3629,1.0,0.38448034,0.24975415
16,CCCOc1ccc(C(=O)Nc2cc(-c3nc4ccccc4[nH]3)ccc2C)cc1,0.3629,0.07116882,0.18966763,0.28728407
17,CC(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(N)=O,0.3629,1.0,0.19493392,1.0
18,CCN(CC)C(=O)Nc1ccc(C(F)(F)F)cc1C(=O)NCC(=O)NC1CCCCC1CS(=O)(=O)c1ccc(SC)cc1,0.3629,1.0,0.24663677,0.49865239
19,CC(C)(C)c1ccc(S(=O)(=O)Nc2cc(SCC(=O)O)c(O)c3ccccc23)cc1,0.3629,1.0,0.22253129,0.71424583
20,CSCCC(NC(=O)c1ccc(CS(=O)(=O)c2cccnc2)cc1-c1ccccc1)C(=O)O,0.3629,1.0,0.25459921,1.0
21,COc1ncc(C(=O)NC(CC(=O)O)c2ccccc2C)cc1-c1ccccc1F,0.3629,0.98910775,0.19062078,0.98873579
22,COc1ccc(NS(=O)(=O)c2ccccc2)c(OC)c1,0.3629,0.04002766,0.13078902,1.0
23,CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(CCl)c2)C(C)(C)C)cc1,0.3629,0.00026448117,0.157593123,0.677807847
24,O=C(O)CCCOc1ccccc1-c1cc(-c2ccc(Br)cc2)n(-c2ccccc2)n1,0.3629,0.03726829,0.26005548,0.08652197
25,N=C(N)CC1CCC(NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NS(=O)(=O)Cc2ccccc2)CC1,0.3629,1.0,0.25584795,1.0
26,CCCCC(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,0.3629,0.00154489,0.21649096,0.07773279
27,O=C(CCCCCCN1C(=O)c2ccccc2C1=O)N1CCC(c2ccccc2)C1,0.3629,0.00540906,0.36554622,0.96942679
28,Cc1ccc(CN(Cc2ccccc2)S(=O)(=O)c2ccc(C(=O)O)cc2)cc1,0.3629,0.30927884,0.20149786,0.99645138
29,O=C(O)CC(NC(=O)OCc1ccccc1)C(=O)COC(=O)CC(c1ccccc1)c1ccccn1,0.3631,1.0,0.26809211,1.0
30,Cn1c(=O)c(=O)n(C)c2cc(S(=O)(=O)NCc3ccc(Cl)cc3)ccc21,0.3631,1.0,0.15044577,1.0
31,COC(C(=O)N1CCC(CCC(=O)Nc2ccccc2)CC1)c1ccccc1,0.3631,0.00731925,0.36049488,0.99950084
32,CC(C)CC(NC(=O)c1ccc(NC(=O)C(N)CS)cc1-c1ccccc1)C(=O)O,0.3631,1.0,0.21664374,1.0
33,COc1cccc(CNC(=O)c2nc3cccc(NCCc4ccccc4)c3c(=O)[nH]2)c1,0.3631,1.0,0.18025606,1.0
34,CC(C)(C)C(=O)COc1cc(C(=O)NC(CC(=O)O)c2ccc(Cl)cc2Cl)nn1-c1ccccc1F,0.3631,1.0,0.17711963,0.45326334
35,CC(=O)OCC(Cc1ccccc1)NC(=O)C(N)Cc1ccccc1,0.3631,0.69206043,0.19004702,1.0
36,N=C(N)N1CCCC(NC(=O)CNC(=O)C(CCNC(=O)c2cncc(Br)c2)NC(=O)OCc2ccccc2)C1O,0.3631,1.0,0.1981352,1.0
37,COc1ccc(CN(Cc2ccccc2)C(=O)c2ccno2)cc1COc1ccc(NC(C)=O)cc1,0.3631,1.0,0.22371715,0.56824812
38,Cc1cc(OCC(=O)NC(C)CCc2ccccc2)nc2c1c(-c1ccccc1)nn2C,0.3631,0.11117964,0.20133053,0.89959627
39,O=C(Nc1ccc(CN2CCS(=O)(=O)CC2)cc1)c1ccccc1,0.3631,0.06291617,0.30071813,1.0
40,Cc1onc(-c2ccccc2)c1COc1ccc(C(=O)NC2CN(C(=O)OC(C)(C)C)C2)cn1,0.3631,1.0,0.16810919,1.0
41,CCOC(=O)C(Cc1ccccc1)NC(=O)c1cnc(Oc2ccc3c(c2)CCC(c2cccnc2)O3)s1,0.3631,1.0,0.2203125,0.4290549
42,CC(CC(=O)NC(=O)c1cn(-c2ccccc2)c(Cc2ccccc2)cc1=O)C(=O)O,0.3631,1.0,0.23932507,1.0
43,CCCCCCn1c(=O)c(C(=O)Nc2ccc(C(=O)OCCCC)cc2)c(O)c2ccccc21,0.3631,1.0,0.27476255,0.32631054
44,CN(C)C(=O)C(Cc1ccccc1)NC(=O)c1cc2cc(F)ccc2[nH]1,0.3631,0.04618039,0.17299107,1.0
45,CCC(C)CNC(=O)CC(O)C(CC(C)C)NC(=O)C(CCCCCN=C(S)NC)NC(=O)C(Cc1cccc2ccccc12)Cc1cccc2ccccc12,0.3631,1.0,0.26630435,0.00320623
46,COc1ccc(C(=C(CCNC(=O)C(=O)N2CCCC2)c2ccccc2)c2ccccc2)cc1,0.3672,0.00731925,0.28080873,0.73598577
47,CCC(C)NC(=O)C(NS(=O)(=O)c1ccc2c(c1)c(=O)n(C)c(=O)n2C)c1ccccc1,0.3672,1.0,0.16229713,1.0
48,Cc1ccc(S(=O)(=O)NC(Cc2ccccc2)C(=O)N2CCCC2C(=O)O)cc1,0.3672,1.0,0.2613798,1.0
49,COc1cc(Cl)ccc1OCc1cc(C(=O)NCc2cc(C(C)C)no2)no1,0.3672,1.0,0.12155298,1.0
50,O=C(O)C(O)=CC(=O)c1cc(Cc2ccccc2)cn(Cc2c(F)cccc2F)c1=O,0.3672,1.0,0.19779507,1.0
51,CC(C)C(NC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC1CCc2ccccc21,0.3672,1.0,0.19504749,1.0
52,Cn1cnc(NCc2ccncc2)c1C(=O)Nc1ccc2c(c1)CN=N2,0.3672,1.0,0.13683432,1.0
53,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCc1ccncc1,0.3672,1.0,0.15842839,1.0
55,CN(C(=O)COC(=O)CNC(=O)c1ccc(Cl)cc1Cl)c1ccccc1,0.3672,0.36022714,0.17099057,1.0
56,CC(=O)Oc1ccccc1Cn1c(C)c(C(=O)NCc2ccc(F)cc2)sc1=O,0.3672,0.45212346,0.12723521,1.0
57,Cc1cc(-n2cnc3c(NCCC(F)(F)F)cc(Oc4ccccc4O)cc32)ccc1C(=O)NC1CC1,0.3672,0.98743906,0.24130695,0.11298048
58,COC(=O)CCCC(=O)NC1=C(NCc2ccccc2)C(=O)c2ccccc2C1=O,0.3672,1.0,0.20804677,1.0
59,COc1ccc(CC(NC(=O)C2(NC(=O)C(SC(C)=O)C(C)C)CCCC2)C(=O)OCc2ccccc2)cc1,0.3672,1.0,0.23606371,0.9803552
60,O=C(O)C(Cc1ccc(-c2ccccc2)cc1)NC(=O)C1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1,0.3673,1.0,0.28210117,0.82226901
61,CCC(NC(=O)C1CC(S(=O)(=O)c2ccc(F)cc2Cl)CN1C(=O)C1(c2ccc(Cl)cc2)CC1)C(=O)C(=O)NC1CC1,0.3673,1.0,0.20959596,1.0
62,CC(=O)CC(c1ccccc1)c1c(SCC(NC(C)=O)C(=O)O)c2ccccc2oc1=O,0.3673,1.0,0.19574599,1.0
63,O=C(COC(=O)c1ccccc1[N+](=O)[O-])NCCCc1ccccc1,0.3673,1.0,0.24104096,1.0
64,Cc1ccc(CCNS(=O)(=O)c2ccc3c(c2)CCN3C(=O)CCC(=O)O)cc1,0.3673,1.0,0.21860987,1.0
65,O=C(Nc1ccc(CC(NC(=O)C2CCC(=O)N2Cc2ccccc2)C(=O)O)cc1)c1cc(F)c(F)cc1F,0.3673,1.0,0.26629073,1.0
66,COc1ccc(CC(C)(C)NC(=O)C(CC2CCCCC2)NC(=O)C(NC(=O)C(N)CNC(=O)c2[nH]c(=O)[nH]c(=O)c2F)C(C)C)cc1,0.3673,1.0,0.16891892,1.0
67,CC(C)CC(NC(=O)C1CCCN1C(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(N)=O,0.3673,1.0,0.22383721,1.0
