BO Iteration,Selected SMILES,f1
0,COc1ccc(-c2nn(-c3ccccc3)cc2C(=O)Nc2cc(S(=O)(=O)N3CCOCC3)ccc2N2CCOCC2)cc1,4.423714244463566e-05
1,CN1CCC23c4c5ccc(O)c4OC2c2c(c4c(n2CC2CCCCC2)CCCC4)CC3(O)C1C5,3.886472370164847e-12
2,O=C(O)CC(c1c[nH]c2ccccc12)C(F)(F)F,0.1501861529550426
3,O=C(NC1C(OC2CC(O)(CO)CC(O)C2O)OC(CO)C(O)C1O)C1CC1,0.21971768720102056
4,Cc1ccc(CN2CCCC2(C)C(=O)NC(C)C)cc1,0.13662699447343168
5,CCOC(=O)c1c(NC(=O)c2cc(OCC)c(OCC)c(OCC)c2)sc2c1CCCCC2,0.4629100498862757
6,CCCCCCCCC=CC(=O)NCCc1cc(OC)cc(OC)c1,0.007239891961194415
7,O=C(C=CC1OC(n2cnc3c(NC(=O)c4ccccc4)ncnc32)C(O)C1O)NCc1ccc2c(c1)OCO2,4.6506315272185106e-05
8,Cc1nn(-c2ccc(C(=O)N3CCN(S(=O)(=O)c4ccccc4C(F)(F)F)CC3)cc2)c(C)c1Cl,0.15119751894761468
9,O=C(OCc1ccccc1)c1cn(C2CC2)c2ccc(I)cc2c1=O,0.16982916595156058
10,O=C(NC1CCCCC1)C(c1ccncc1)n1c(-c2ccc(Cl)cc2)nc2ccccc21,0.007037854411954034
11,COc1ccc2[nH]cc(CCCCN3CCN(c4ccc(OC(=O)C(C)(C)C)cc4)CC3)c2c1,0.15419181990414044
12,NS(=O)(=O)c1ccc(Nc2nc3ncnc(Nc4ccc(N5CCOCC5)c(Cl)c4)c3s2)cc1,0.006201667796148969
13,CN(C(=O)COC(=O)c1cnc(Cl)c(Cl)c1)C1CCS(=O)(=O)C1,0.15081586705003075
14,CCc1c(C#N)c(-c2ccc(-c3ccccc3C#N)cc2)c(C(=O)O)n1C,0.4222494211285681
15,CCn1nc(N2CCCC2)nc1CCc1nc2ccccc2nc1C,0.15655522822249024
16,NC1CC(=O)c2cscc21,0.11263961471628194
17,C=CC(=O)N(C)c1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(C)=O,0.411113225896519
18,Cc1[nH]c(O)nc1C(=O)c1ccc(-n2ccnc2)cc1,0.38118124993124375
19,COc1ccc(-c2ccn(CCC(C)(C(=O)NO)S(C)(=O)=O)c(=O)c2)c(F)c1,0.15133702153206266
20,CCCC(=O)Nc1nnc(SCc2cc(=O)c3cc(C)ccc3[nH]2)s1,0.43994134506405985
21,CCOc1ccc(-n2c(C)cc(C=NNC(=O)CC(=O)NC3CCCCC3)c2C)cc1,0.4423258684646914
22,O=C(O)c1cc(-c2ccc(Cl)c(Cl)c2)ncn1,0.14663515073172612
23,COC(=O)c1ccc2nc(-c3cccc(Br)c3)c(Cc3ccsc3)n2c1,0.15533688107974267
24,c1ccc2cc(CNCCCN3CCN(CCCNCc4ccc5ccccc5c4)CC3)ccc2c1,0.006376686970163739
25,CSCCC(NC(=O)c1ccc(NC(=O)CCc2c[nH]c(S)n2)cc1-c1ccccc1C)C(=O)O,0.4548588261473421
