BO Iteration,Selected SMILES,f1
0,CN=C(O)CCCN1CCC(n2cc(N=C(O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,0.005959829894061434
1,CCCN1CCC(NCc2ccncc2)CC1,0.13838793056453932
2,CCc1nnc(CNC(=O)CCC2CCCCN2C)s1,0.15831010545212082
3,O=C(NCc1ccc2c(c1)OCO2)c1cc([N+](=O)[O-])ccc1N1CCCCC1,0.318511028635303
4,Cc1cc(C2CCN(CCCCNC(=O)c3ccc(-c4ccc(C(F)(F)F)cc4)cc3)CC2)c(C)cc1OCCOC1CCCCO1,0.13041990851835053
5,CCOC(=O)Cc1nnc(NC(=O)C(CC)Sc2nc(C)cc(O)n2)s1,0.4148869093391398
6,COc1cc(CC(=O)O)ccc1Oc1ccc(C(=O)NC2CCC2)cc1CS(=O)(=O)c1ccc(Cl)cc1Cl,0.13540955672112676
7,COc1cc2c(cc1C=CC(=O)c1ccccc1)C1CCC3(C)C(Oc4cc(OC)c(OC)c(OC)c4)CCC3C1CC2,0.11401010498931519
8,O=C(NN1CCCCC1)c1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)s1,0.1069429029850447
9,COc1cccc(NC(=O)C2C3C=CC4(O3)C2C(=O)N(CCCN2CCCCC2)C4C(=O)NC2CCCCC2)c1,0.15437819954416437
10,Oc1ccc(-c2csc(Nc3ncccn3)n2)cc1O,0.04616561819080064
11,CCN(CC(=O)NCc1ccccn1)S(=O)(=O)c1ccc(OC)cc1,0.31868871959954903
12,CC=CC=Cc1nc2ccc(OC)cc2n2cccc12,0.06580827503871842
13,Cc1ccc(N=Nc2cc(C)ccc2NC(=O)c2ccc(Oc3ccc(C(=O)Nc4ccc(C)cc4N=Nc4ccc(C)cc4)cc3)cc2)cc1,2.594176132936502e-08
14,Cc1ccc(C=Nn2c(C)cc(C)c(C#N)c2=O)cc1,0.20327890704543541
15,NS(=O)(=O)c1ccc(Nc2ncc3c(n2)-c2ccc(NC(=O)C4CCCC4)cc2CC3)cc1,0.12829534913572785
16,Cc1cc(Cn2cc(O)c(=O)c(C(=O)O)c2)ccc1F,0.2785430072655778
17,CCN(CC)CC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(Cl)ccc12,0.09642532803410545
18,O=C(c1ccc2nccn2c1)N1CCCC1c1noc(C2CC2)n1,0.12214274485441812
19,CC(=O)OC1CC(COC(=O)C(C)NC(=O)OCC2c3ccccc3-c3ccccc32)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O,0.14814270871857899
20,CNCC1Oc2c(NS(=O)(=O)c3ccc(OC)cc3)cccc2C(=O)N(C(C)CO)CC1C,0.34240528516707336
21,C=CCOC(=O)NC1C2C(=O)CC(c3ccc(O)cc32)C1C(=O)OCC[Si](C)(C)C,0.1467331361424146
22,Oc1nc2c(c3nc(-c4ccccc4F)cn13)CNCC2,0.0729942515363159
23,CC(=O)C1=C(O)C(=O)N(Cc2ccco2)C1c1ccccc1,0.26940795304016235
24,CC(C)CC[S+]([O-])CCC(O)C(CC(C)C)NC(=O)C(C)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,0.14522814111576188
25,Cc1n[nH]c(C(=O)O)c1Cc1ccc(C(F)(F)F)cc1,0.24356115022372735
26,N#CCC1(n2cc(C(=N)O)c(=Nc3ccnc(F)c3)[nH]2)CCC(NCc2cccc(F)c2)CC1,0.11091982495011786
27,Cn1c([N+](=O)[O-])cnc1-c1nnc(NN=Cc2ccc(OC(F)(F)F)cc2)s1,0.06855028649866499
28,N#Cc1cc(NC(=S)c2ccccn2)ccc1F,0.12909944487358058
29,CCOC(=O)N1Cc2cc(C#N)ccc2N(Cc2c[nH]cn2)CC1Cc1ccccc1,0.12220289888163256
